conference,session,speaker,timestamp,speaking_duration,nods_others,smile_self,smile_other,distracted_others,hand_gesture,interruption,overlap,screenshare,annotations,transcript,start_sec,end_sec,session_core,clip_number,global_session,clip_duration_sec,clip_offset_sec,start_sec_adjusted,end_sec_adjusted,start_minute_adjusted,global_timestamp_sec,global_minute,is_early,annotation_dict,has_new_idea,has_explanation,has_decision,burst_center,burst_session
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Niki Parenteau,01:11-01:28,17.0,0,0.0,0.0,0,,No,No,No,"{'assign task': 'Niki is assigning the task of creating a Google Doc to Jeff, who volunteered to be the recorder.', 'propose decision': 'Niki proposes the decision to share the screen and record notes as they go, suggesting it might be a more efficient way to reflect on the conversation.'}","Yeah, under the virtual meeting materials. If you can just create a new Google Doc and if you want, if you guys think it would be more efficient for you to share your screen and to record the notes as we go, if folks would think that would be helpful to kind of reflect on the conversation that we're having, we can do that.",71.0,88.0,SLU,1.0,2021_06_10_SLU_S1_SLU,581.0,615.0,686.0,703.0,11.433333333333334,686.0,11.433333333333334,False,"{'assign task': 'Niki is assigning the task of creating a Google Doc to Jeff, who volunteered to be the recorder.', 'propose decision': 'Niki proposes the decision to share the screen and record notes as they go, suggesting it might be a more efficient way to reflect on the conversation.'}",False,False,True,731.2363636363636,2021_06_10_SLU_S1
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Niki Parenteau,01:29-01:49,20.0,0,0.0,0.0,0,,No,No,Yes,"{'assign task': 'Niki assigns Jeff the task of setting up the Google Doc for recording notes.', 'encourage particpatioin': 'Niki encourages participation by suggesting that everyone introduce themselves and their specialty areas.'}","So I'll let you go ahead and get that set up and while uh Jeff is doing that, why don't we go ahead and go around the room and and do another brief introduction. And um, as Richard said, we'll kind of keep it brief, but it'd be helpful to know, you know, who you are, your name, where you work and and kind of your specialty areas.",89.0,109.0,SLU,1.0,2021_06_10_SLU_S1_SLU,581.0,615.0,704.0,724.0,11.733333333333333,704.0,11.733333333333333,False,"{'assign task': 'Niki assigns Jeff the task of setting up the Google Doc for recording notes.', 'encourage particpatioin': 'Niki encourages participation by suggesting that everyone introduce themselves and their specialty areas.'}",False,False,False,731.2363636363636,2021_06_10_SLU_S1
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Niki Parenteau,01:50-01:53,3.0,0,0.0,0.0,0,,No,No,Yes,"{'encourage particpatioin': 'Niki is inviting others to participate in the introductions, as she asks if anyone else wants to jump in.'}",So anybody else want to jump in on that?,110.0,113.0,SLU,1.0,2021_06_10_SLU_S1_SLU,581.0,615.0,725.0,728.0,12.083333333333334,725.0,12.083333333333334,False,"{'encourage particpatioin': 'Niki is inviting others to participate in the introductions, as she asks if anyone else wants to jump in.'}",False,False,False,731.2363636363636,2021_06_10_SLU_S1
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Stilianos Louca,01:57-02:57,60.0,0,10.0,0.0,0,Open Palms,No,No,Yes,"[{'explain or define term or concept': 'Stilianos explains his background and current research focus, including areas like microbial ecology, evolution, sequencing techniques, and phylogenomics, to provide context for his expertise.'}, {'assign task': 'Stilianos asks Jeff to share the link to the document so that others can contribute, assigning Jeff the task of sharing the document.'}, {'encourage particpatioin': 'Stilianos suggests that others contribute to the document if Jeff misses something, encouraging participation from the group.'}]","Well, I can start, I guess. Um, I'm Stilianos Louca, uh short you can just call me Stilian. I'm at the University of Oregon. I'm coming long back, coming from physics, um, and and mathematics and then moved to sort of biological modeling, bioinformatics and nowadays my lab we do uh we study microbial ecology and evolution using a lot of sequencing techniques, phylogenomics. Uh we look both at modern ecosystems especially uh weird ones like anoxic zones in the ocean and hot springs, but also try to understand the history of microbial evolution uh using using the kind of data we we have available, which is not much. Um, yeah, that's it. I guess I I want to use my last three seconds and ask Jeff if he could just share the link to his document and then we we could all contribute if needed, if if he misses something, we can add notes and so that's just a suggestion.",117.0,177.0,SLU,1.0,2021_06_10_SLU_S1_SLU,581.0,615.0,732.0,792.0,12.2,732.0,12.2,False,"{'explain or define term or concept': 'Stilianos explains his background and current research focus, including areas like microbial ecology, evolution, sequencing techniques, and phylogenomics, to provide context for his expertise.', 'assign task': 'Stilianos asks Jeff to share the link to the document so that others can contribute, assigning Jeff the task of sharing the document.', 'encourage particpatioin': 'Stilianos suggests that others contribute to the document if Jeff misses something, encouraging participation from the group.'}",False,True,False,731.2363636363636,2021_06_10_SLU_S1
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Niki Parenteau,02:02-02:04,2.0,0,0.0,0.0,0,,No,No,No,"{'ask clarifying question': 'Niki is asking the group if they need more time, which is a request for information about their progress on the task she assigned.'}",So how are we doing? Do we need another minute or so?,122.0,124.0,SLU,1.0,2021_06_10_SLU_S1_SLU,581.0,615.0,737.0,739.0,12.283333333333331,737.0,12.283333333333331,False,"{'ask clarifying question': 'Niki is asking the group if they need more time, which is a request for information about their progress on the task she assigned.'}",False,False,False,731.2363636363636,2021_06_10_SLU_S1
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Noah Planavsky,02:12-02:14,2.0,0,0.0,0.0,0,,No,No,No,"{'express frustration': 'Noah expresses frustration with the pace of the meeting, indicating he needs more time to complete the task.'}",I'd take another minute. Sorry.,132.0,134.0,SLU,1.0,2021_06_10_SLU_S1_SLU,581.0,615.0,747.0,749.0,12.45,747.0,12.45,False,"{'express frustration': 'Noah expresses frustration with the pace of the meeting, indicating he needs more time to complete the task.'}",False,False,False,731.2363636363636,2021_06_10_SLU_S1
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Niki Parenteau,02:14-02:15,1.0,0,0.0,0.0,0,,No,No,No,"{'express agreement': ""Niki Parenteau expresses agreement with Noah Planavsky's request for another minute, indicating that it is not a problem.""}",No worries.,134.0,135.0,SLU,1.0,2021_06_10_SLU_S1_SLU,581.0,615.0,749.0,750.0,12.483333333333333,749.0,12.483333333333333,False,"{'express agreement': ""Niki Parenteau expresses agreement with Noah Planavsky's request for another minute, indicating that it is not a problem.""}",False,False,False,731.2363636363636,2021_06_10_SLU_S1
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Noah Planavsky,02:15-02:20,5.0,0,0.0,0.0,0,,No,No,No,"{'express humor': 'Noah makes a humorous remark about the difficulty of the task, acknowledging the goal of the meeting is to encourage participation and avoid silence.'}",That's a tricky. I know. Even though the goal of this is to not sit silently by ourselves.,135.0,140.0,SLU,1.0,2021_06_10_SLU_S1_SLU,581.0,615.0,750.0,755.0,12.5,750.0,12.5,False,"{'express humor': 'Noah makes a humorous remark about the difficulty of the task, acknowledging the goal of the meeting is to encourage participation and avoid silence.'}",False,False,False,731.2363636363636,2021_06_10_SLU_S1
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Niki Parenteau,02:22-02:24,2.0,0,0.0,0.0,0,,No,No,No,"{'encourage particpatioin': 'Niki encourages the group to chat after the initial silent work, inviting participation.'}",We'll just do that at the beginning and then we'll chat.,142.0,144.0,SLU,1.0,2021_06_10_SLU_S1_SLU,581.0,615.0,757.0,759.0,12.616666666666667,757.0,12.616666666666667,False,"{'encourage particpatioin': 'Niki encourages the group to chat after the initial silent work, inviting participation.'}",False,False,False,731.2363636363636,2021_06_10_SLU_S1
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Noah Planavsky,02:24-02:29,5.0,0,0.0,0.0,0,,No,No,No,"{'express humor': 'Noah is making a joke about his difficulty in articulating his thoughts, which is humorous in the context of the task.'}",Struggling to throw anything other than a word salad on the old page.,144.0,149.0,SLU,1.0,2021_06_10_SLU_S1_SLU,581.0,615.0,759.0,764.0,12.65,759.0,12.65,False,"{'express humor': 'Noah is making a joke about his difficulty in articulating his thoughts, which is humorous in the context of the task.'}",False,False,False,731.2363636363636,2021_06_10_SLU_S1
