token,kind,hit_in,hit_out,base_in,base_out,rate_in_per_1000,rate_out_per_1000,ratio_in_out,min_participants
present new idea,ann,54,8058,238,38065,226.890756302521,211.69052935767766,1.0718040008256053,2
explain or define,ann,48,9478,238,38065,201.68067226890756,248.9951398922895,0.8099783487996624,2
agreement,ann,17,4002,238,38065,71.42857142857143,105.13595166163142,0.6793924466368754,2
expand on existing idea,ann,85,13950,238,38065,357.14285714285717,366.47839222382765,0.9745263696877297,2
new idea,ann,55,8118,238,38065,231.09243697478993,213.26678050702748,1.083583840039689,2
define,ann,49,9813,238,38065,205.88235294117646,257.79587547615915,0.7986254728129571,2
decision,ann,14,3683,238,38065,58.8235294117647,96.75554971758834,0.607960262577721,2
encourage,ann,57,4893,238,38065,239.49579831932775,128.5432812294759,1.8631529865097805,2
assign task,ann,21,1650,238,38065,88.23529411764706,43.3469066071194,2.0355614973023135,2
agree,ann,19,4737,238,38065,79.83193277310924,124.44502824116643,0.6415035932071036,2
explain,ann,53,10170,238,38065,222.68907563025212,267.17456981479046,0.8334965254544627,2
question,ann,77,8964,238,38065,323.5294117647059,235.49192171285958,1.3738450534146922,2
rx_assign,rx,24,2080,238,38065,100.84033613445378,54.64337317745961,1.8454266321758666,2
rx_summarize,rx,16,1987,238,38065,67.22689075630252,52.20018389596742,1.2878669333808246,2
rx_agree,rx,24,5835,238,38065,100.84033613445378,153.2904242742677,0.6578384567216808,2
present new idea,ann,54,8058,238,38065,226.890756302521,211.69052935767766,1.0718040008256053,3
explain or define,ann,48,9478,238,38065,201.68067226890756,248.9951398922895,0.8099783487996624,3
agreement,ann,17,4002,238,38065,71.42857142857143,105.13595166163142,0.6793924466368754,3
expand on existing idea,ann,85,13950,238,38065,357.14285714285717,366.47839222382765,0.9745263696877297,3
new idea,ann,55,8118,238,38065,231.09243697478993,213.26678050702748,1.083583840039689,3
define,ann,49,9813,238,38065,205.88235294117646,257.79587547615915,0.7986254728129571,3
decision,ann,14,3683,238,38065,58.8235294117647,96.75554971758834,0.607960262577721,3
encourage,ann,57,4893,238,38065,239.49579831932775,128.5432812294759,1.8631529865097805,3
assign task,ann,21,1650,238,38065,88.23529411764706,43.3469066071194,2.0355614973023135,3
agree,ann,19,4737,238,38065,79.83193277310924,124.44502824116643,0.6415035932071036,3
explain,ann,53,10170,238,38065,222.68907563025212,267.17456981479046,0.8334965254544627,3
question,ann,77,8964,238,38065,323.5294117647059,235.49192171285958,1.3738450534146922,3
rx_assign,rx,24,2080,238,38065,100.84033613445378,54.64337317745961,1.8454266321758666,3
rx_summarize,rx,16,1987,238,38065,67.22689075630252,52.20018389596742,1.2878669333808246,3
rx_agree,rx,24,5835,238,38065,100.84033613445378,153.2904242742677,0.6578384567216808,3
present new idea,ann,54,8058,238,38065,226.890756302521,211.69052935767766,1.0718040008256053,4
explain or define,ann,48,9478,238,38065,201.68067226890756,248.9951398922895,0.8099783487996624,4
agreement,ann,17,4002,238,38065,71.42857142857143,105.13595166163142,0.6793924466368754,4
expand on existing idea,ann,85,13950,238,38065,357.14285714285717,366.47839222382765,0.9745263696877297,4
new idea,ann,55,8118,238,38065,231.09243697478993,213.26678050702748,1.083583840039689,4
define,ann,49,9813,238,38065,205.88235294117646,257.79587547615915,0.7986254728129571,4
decision,ann,14,3683,238,38065,58.8235294117647,96.75554971758834,0.607960262577721,4
encourage,ann,57,4893,238,38065,239.49579831932775,128.5432812294759,1.8631529865097805,4
assign task,ann,21,1650,238,38065,88.23529411764706,43.3469066071194,2.0355614973023135,4
agree,ann,19,4737,238,38065,79.83193277310924,124.44502824116643,0.6415035932071036,4
explain,ann,53,10170,238,38065,222.68907563025212,267.17456981479046,0.8334965254544627,4
question,ann,77,8964,238,38065,323.5294117647059,235.49192171285958,1.3738450534146922,4
rx_assign,rx,24,2080,238,38065,100.84033613445378,54.64337317745961,1.8454266321758666,4
rx_summarize,rx,16,1987,238,38065,67.22689075630252,52.20018389596742,1.2878669333808246,4
rx_agree,rx,24,5835,238,38065,100.84033613445378,153.2904242742677,0.6578384567216808,4
present new idea,ann,54,8058,233,38070,231.75965665236052,211.66272655634359,1.0949478938634587,5
explain or define,ann,47,9479,233,38070,201.7167381974249,248.9887050170738,0.8101441315732876,5
agreement,ann,17,4002,233,38070,72.96137339055794,105.12214342001576,0.6940628398276332,5
expand on existing idea,ann,84,13951,233,38070,360.51502145922746,366.45652744943527,0.9837866007421264,5
new idea,ann,55,8118,233,38070,236.05150214592274,213.2387706855792,1.1069820998634154,5
define,ann,48,9814,233,38070,206.00858369098714,257.78828473863933,0.7991386571350649,5
decision,ann,14,3683,233,38070,60.08583690987125,96.74284213291305,0.6210881920101068,5
encourage,ann,57,4893,233,38070,244.6351931330472,128.52639873916468,1.9033847951237925,5
assign task,ann,21,1650,233,38070,90.12875536480686,43.341213553979514,2.0795161919376364,5
agree,ann,18,4738,233,38070,77.25321888412017,124.45495140530602,0.6207323855915774,5
explain,ann,52,10171,233,38070,223.17596566523608,267.1657473075913,0.8353464765393576,5
question,ann,73,8968,233,38070,313.3047210300429,235.56606251641713,1.3300078868868388,5
rx_assign,rx,24,2080,233,38070,103.00429184549357,54.63619648016811,1.8852756685212684,5
rx_summarize,rx,16,1987,233,38070,68.6695278969957,52.1933280798529,1.3156763598523449,5
rx_agree,rx,23,5836,233,38070,98.71244635193133,153.29655897031782,0.6439312598751854,5
present new idea,ann,40,8072,174,38129,229.88505747126436,211.7023787668179,1.0858879281861453,6
explain or define,ann,41,9485,174,38129,235.63218390804596,248.76078575362584,0.9472239894814862,6
agreement,ann,12,4007,174,38129,68.9655172413793,105.0906134438354,0.6562481175217516,6
expand on existing idea,ann,61,13974,174,38129,350.5747126436782,366.49269584830444,0.9565667109197411,6
define,ann,42,9820,174,38129,241.3793103448276,257.5467491935272,0.9372252264908681,6
new idea,ann,41,8132,174,38129,235.63218390804596,213.27598415903907,1.1048228652515848,6
encourage,ann,45,4905,174,38129,258.62068965517244,128.64224081407852,2.010387008322843,6
assign task,ann,15,1656,174,38129,86.20689655172414,43.431508825303574,1.9848929701588993,6
agree,ann,13,4743,174,38129,74.71264367816093,124.39350625508143,0.6006153048323479,6
explain,ann,43,10180,174,38129,247.1264367816092,266.9883815468541,0.9256074565863274,6
question,ann,47,8994,174,38129,270.11494252873564,235.8834482939495,1.1451203739907303,6
rx_assign,rx,18,2086,174,38129,103.44827586206897,54.70901413622177,1.8908817403216012,6
rx_agree,rx,16,5843,174,38129,91.95402298850574,153.24293844580242,0.6000539008290237,6
present new idea,ann,28,8084,124,38179,225.80645161290323,211.73943791089343,1.0664354918513725,7
explain or define,ann,37,9489,124,38179,298.38709677419354,248.53977317373423,1.2005607511575802,7
expand on existing idea,ann,55,13980,124,38179,443.5483870967742,366.16988396762616,1.2113185887667866,7
define,ann,38,9824,124,38179,306.4516129032258,257.31423033604864,1.190962553850261,7
new idea,ann,29,8144,124,38179,233.87096774193546,213.3109824772781,1.0963850291522192,7
encourage,ann,36,4914,124,38179,290.32258064516134,128.70949998690378,2.2556422072453555,7
assign task,ann,13,1658,124,38179,104.83870967741936,43.42701485109615,2.414135764004948,7
agree,ann,10,4746,124,38179,80.64516129032258,124.30917520102675,0.6487466525319503,7
explain,ann,39,10184,124,38179,314.51612903225805,266.7434977343566,1.1790957669202418,7
question,ann,33,9008,124,38179,266.1290322580645,235.9412242332172,1.1279463057921582,7
rx_assign,rx,15,2089,124,38179,120.96774193548387,54.71594331962597,2.210831699046726,7
