conference,session,source_row_index,sent_index_in_row,sentence,dialogue_act,global_session,speaker,timestamp,global_start_sec,global_end_sec,clip_number,sent_start_sec_est,sent_end_sec_est,global_start_sec_y,global_end_sec_y,session_core,sent_time_sec,annotations,global_timestamp_sec,_utter_row,_sent_idx
2021_06_11_SLU_S11,2021_06_11_SLU_S11,,,All right.,,2021_06_11_SLU_S11_SLU,Andro Rios,,,,,838.0,839.0,,,SLU,838.5,{'None': 'This utterance does not fit any of the codes in the codebook.'},838.0,0,0
2021_06_11_SLU_S11,2021_06_11_SLU_S11,,,Back to in terms of um you're talking about detection of this.,,2021_06_11_SLU_S11_SLU,Andro Rios,,,,,610.0000000000001,613.3574007220217,,,SLU,611.6787003610109,"[{'expand on existing idea': 'This utterance expands on the existing idea of detecting life by discussing how biology would utilize amino acids in a specific way, contrasting it with abiotic processes that would degrade or randomly polymerize them, building on the previous discussion about distinguishing between abiotic and biotic processes.'}, {'provide supporting evidence': 'The speaker supports their idea by referencing a previous meeting where they discussed the concept of biology taking amino acids along a specific path, suggesting a consistent and distinct pattern that can be monitored.'}]",1448.0,1,0
2021_06_11_SLU_S11,2021_06_11_SLU_S11,,,"So if you have like you said, you know, the sea of amino acids, but yet there is an organism that is utilizing it, you know, the abiotic chemistry, you can take those amino acids and just degrade them and just turn them into mush or polymerize them to all random ways.",,2021_06_11_SLU_S11_SLU,Andro Rios,,,,,613.3574007220218,627.8700361010831,,,SLU,620.6137184115524,"[{'expand on existing idea': 'This utterance expands on the existing idea of detecting life by discussing how biology would utilize amino acids in a specific way, contrasting it with abiotic processes that would degrade or randomly polymerize them, building on the previous discussion about distinguishing between abiotic and biotic processes.'}, {'provide supporting evidence': 'The speaker supports their idea by referencing a previous meeting where they discussed the concept of biology taking amino acids along a specific path, suggesting a consistent and distinct pattern that can be monitored.'}]",1448.0,2,0
2021_06_11_SLU_S11,2021_06_11_SLU_S11,,,"But biology like you said, would take them along a certain, we were talking about this in the last meeting, along a very certain path.",,2021_06_11_SLU_S11_SLU,Andro Rios,,,,,627.870036101083,635.1263537906137,,,SLU,631.4981949458484,"[{'expand on existing idea': 'This utterance expands on the existing idea of detecting life by discussing how biology would utilize amino acids in a specific way, contrasting it with abiotic processes that would degrade or randomly polymerize them, building on the previous discussion about distinguishing between abiotic and biotic processes.'}, {'provide supporting evidence': 'The speaker supports their idea by referencing a previous meeting where they discussed the concept of biology taking amino acids along a specific path, suggesting a consistent and distinct pattern that can be monitored.'}]",1448.0,3,0
2021_06_11_SLU_S11,2021_06_11_SLU_S11,,,"So there would be a very distinct way to to to monitor a sample of of some sort of organism, whatever it is, but looking at that chemistry is going to be very conservative, presumably, even if it is eating feeding off the environment of more complex organic compounds.",,2021_06_11_SLU_S11_SLU,Andro Rios,,,,,635.1263537906138,649.6389891696751,,,SLU,642.3826714801445,"[{'expand on existing idea': 'This utterance expands on the existing idea of detecting life by discussing how biology would utilize amino acids in a specific way, contrasting it with abiotic processes that would degrade or randomly polymerize them, building on the previous discussion about distinguishing between abiotic and biotic processes.'}, {'provide supporting evidence': 'The speaker supports their idea by referencing a previous meeting where they discussed the concept of biology taking amino acids along a specific path, suggesting a consistent and distinct pattern that can be monitored.'}]",1448.0,4,0
2021_06_11_SLU_S11,2021_06_11_SLU_S11,,,"So that's one way, I mean, it's complex, but that's one way that we could um measure that, I guess.",,2021_06_11_SLU_S11_SLU,Andro Rios,,,,,649.6389891696751,655.0,,,SLU,652.3194945848376,"[{'expand on existing idea': 'This utterance expands on the existing idea of detecting life by discussing how biology would utilize amino acids in a specific way, contrasting it with abiotic processes that would degrade or randomly polymerize them, building on the previous discussion about distinguishing between abiotic and biotic processes.'}, {'provide supporting evidence': 'The speaker supports their idea by referencing a previous meeting where they discussed the concept of biology taking amino acids along a specific path, suggesting a consistent and distinct pattern that can be monitored.'}]",1448.0,5,0
2021_06_11_SLU_S11,2021_06_11_SLU_S11,,,"Laurie, I was just going to say that um I like what you said about the organic chemical state and I would just add one little addendum to that or addition to that being that and how does it compare to the existing knowledge of abiotic chemistry.",,2021_06_11_SLU_S11_SLU,Andro Rios,,,,,1154.0,1172.8461538461538,,,SLU,1163.423076923077,"{'acknowledge contribution': {'Explanation': ""Andro acknowledges Laurie's prior contribution about the organic chemical state, indicating recognition of her input.""}, 'expand on existing idea': {'Explanation': ""Andro builds upon Laurie's idea by adding the comparison to existing knowledge of abiotic chemistry, suggesting an additional factor to consider.""}}",1992.0,6,0
2021_06_11_SLU_S11,2021_06_11_SLU_S11,,,Um just specifically to to tie that part in.,,2021_06_11_SLU_S11_SLU,Andro Rios,,,,,1172.846153846154,1176.2307692307693,,,SLU,1174.5384615384617,"{'acknowledge contribution': {'Explanation': ""Andro acknowledges Laurie's prior contribution about the organic chemical state, indicating recognition of her input.""}, 'expand on existing idea': {'Explanation': ""Andro builds upon Laurie's idea by adding the comparison to existing knowledge of abiotic chemistry, suggesting an additional factor to consider.""}}",1992.0,7,0
2021_06_11_SLU_S11,2021_06_11_SLU_S11,,,Here's the organic chemical state of of a planet.,,2021_06_11_SLU_S11_SLU,Andro Rios,,,,,1176.230769230769,1180.0,,,SLU,1178.1153846153845,"{'acknowledge contribution': {'Explanation': ""Andro acknowledges Laurie's prior contribution about the organic chemical state, indicating recognition of her input.""}, 'expand on existing idea': {'Explanation': ""Andro builds upon Laurie's idea by adding the comparison to existing knowledge of abiotic chemistry, suggesting an additional factor to consider.""}}",1992.0,8,0
2021_06_11_SLU_S11,2021_06_11_SLU_S11,,,"No, it's good.",,2021_06_11_SLU_S11_SLU,Andro Rios,,,,,821.0,822.0,,,SLU,821.5,"{'express agreement': ""Andro Rios expresses agreement with Niki Parenteau after she apologizes for asking a complex question about distinguishing life in Titan's subsurface ocean.""}",2813.0,9,0
2021_06_11_SLU_S11,2021_06_11_SLU_S11,,,"Oh, um.",,2021_06_11_SLU_S11_SLU,Andro Rios,,,,,720.0,721.0,,,SLU,720.5,{'None': 'This utterance does not fit any of the codes in the codebook because it is just a filler word.'},3533.0,10,0
2021_06_11_SLU_S11,2021_06_11_SLU_S11,,,"That that would be that would capture more of of of an actual system versus snapshots, you monitor these species over time, you know, then you see the repopulation of starting materials and then if you add in something maybe enriches it.",,2021_06_11_SLU_S11_SLU,Andro Rios,,,,,1136.0,1147.0,,,SLU,1141.5,"{'expand on existing idea': ""Andrio is expanding on Stilianos' idea of using kinetics to distinguish abiotic from biotic reactions, suggesting that monitoring species over time would capture more of the system's behavior than snapshots, building on the idea of time course monitoring."", 'provide supporting evidence': 'Andrio suggests that monitoring species over time would capture more of an actual system versus snapshots, implying that this approach would provide more comprehensive data.', 'present new idea': 'Andrio presents the idea of monitoring species over time to capture the dynamics of a chemical system, suggesting that observing the repopulation of starting materials and the effects of adding enriching substances could provide valuable insights.'}",3949.0,11,0
2021_06_11_SLU_S11,2021_06_11_SLU_S11,,,"That would be one way potentially that we could move forward, but that's hard.",,2021_06_11_SLU_S11_SLU,Andro Rios,,,,,1147.0,1150.0,,,SLU,1148.5,"{'propose decision': 'Andrio suggests time course monitoring as a way to move forward in distinguishing abiotic from biotic reactions, building on the discussion about kinetics and autocatalysis.', 'express frustration': 'Andrio acknowledges that time course monitoring is a potential way forward, but expresses frustration by stating that it is a difficult approach.'}",3960.0,12,0
2021_06_11_SLU_S11,2021_06_11_SLU_S11,,,"Yeah, I I was going to say, Nikki, you asked like the most complex one.",,2021_06_11_SLU_S11_SLU,Andro Rios,,,,,809.0,813.0,,,SLU,811.0,"{'acknowledge contribution': {'Explanation': ""Andro acknowledges Niki's question as being complex, recognizing the difficulty of the topic she raised.""}}",4769.0,13,0
