conference,session,sent_time_sec,center_time_sec,burst_id,speaker,sentence,annotations,kw_decision,kw_assign,kw_summarize,kw_agree,decision_any,m_cut,delta_to_center
2021_04_22_MND_S1,2021_04_22_MND_S1,231.0,251.0,2021_04_22_MND_S1_B1,Flavio Frohlich,"Now, I don't know whether really the mechanism is um the microbiome or not, but that's probably where I would start. And I wouldn't care about, you know, these people don't have any diagnosis, so you avoid all that complexity of 100 year discussion what depression really is, but you can assess their acute mood changes.","{'present new idea': ""Flavio suggests starting with a perturbation known to affect the microbiome and cause psychiatric effects, rather than focusing on diagnosed individuals, which is a novel approach to studying the microbiome's role in psychiatric illnesses."", 'reject idea': ""Flavio rejects the idea of focusing on diagnosed individuals, stating he wouldn't care about people with diagnoses, because of the complexity of defining psychiatric illnesses."", 'propose decision': 'Flavio proposes to start with a perturbation that has a clear measurable effect on the microbiome and causes psychiatric behavioral phenotypes.'}",False,False,False,False,False,3,-20.0
2021_04_22_MND_S1,2021_04_22_MND_S1,235.0,251.0,2021_04_22_MND_S1_B1,Barbara Bendlin,"Yeah, could could you add that to point one? Um, the idea being start with germ free mice, add microbiota and do metabolomics.","[{'expand on existing idea': ""This utterance builds upon Shikha and Mei's previously mentioned idea of putting bacteria in the gut and checking the metabolites, adding the specific suggestion to start with germ-free mice and progressively introduce complexity.""}, {'propose decision': 'Barbara proposes a concrete choice for the group to add the idea of starting with germ-free mice, adding microbiota, and doing metabolomics to point one.'}]",False,False,False,False,False,3,-16.0
2021_04_22_MND_S1,2021_04_22_MND_S1,237.0,251.0,2021_04_22_MND_S1_B1,Erin Longbrake,[low confidence],[{'None': 'This utterance does not contain enough information to be coded.'}],False,False,False,False,False,3,-14.0
2021_04_22_MND_S1,2021_04_22_MND_S1,240.0,251.0,2021_04_22_MND_S1_B1,Aida Ebrahimi,[low confidence],"[{'express frustration': 'The speaker expresses low confidence, which can be interpreted as a form of frustration or uncertainty about the discussion.'}]",False,False,False,False,False,3,-11.0
2021_04_22_MND_S1,2021_04_22_MND_S1,241.0,251.0,2021_04_22_MND_S1_B1,Aida Ebrahimi,"Um, so for example, you know, when um Bob was today talking about short fatty acids. So that's a biomarker. So let's say if we have uh we can build the sensors uh to monitor the level of those uh not in vivo yet, at least at the moment, but definitely in in vitro models. We can also monitor um we can build sensors that they can monitor the permeation of let's say uh uh BBB, the blood brain blood barrier. If there are models, we can build sensors that can be integrated or embedded in that model.","{'provide supporting evidence': ""The speaker mentions short fatty acids as biomarkers, referencing Bob's earlier statement to support the idea of using sensors to monitor metabolites."", 'expand on existing idea': 'The speaker expands on the idea of building sensors by suggesting monitoring the permeation of the blood-brain barrier in in vitro models, building upon the previous discussion of sensor development.', 'explain or define term or concept': ""The speaker clarifies the abbreviation 'BBB' by stating 'the blood brain blood barrier' to ensure everyone understands the term.""}",True,False,False,False,True,3,-10.0
2021_04_22_MND_S1,2021_04_22_MND_S1,243.0,251.0,2021_04_22_MND_S1_B1,Aida Ebrahimi,"Um they can be tools that can be used to monitor different um monitor changes, right? For example, by change I mean if we want to go with the route that we are co-culturing in vitro uh two different species, for example. And we want to study the effect of if we are changing, I don't know, hormone concentration um in that model.","{'expand on existing idea': 'Aida is expanding on the discussion about detection techniques and how they can be used to monitor changes in co-culture experiments, building on the previous discussion about identifying biomarkers and species.', 'propose decision': 'Aida proposes using co-culturing in vitro with two different species to study the effect of changing hormone concentration, suggesting a specific experimental approach for further investigation.'}",False,False,False,False,False,3,-8.0
2021_04_22_MND_S1,2021_04_22_MND_S1,245.0,251.0,2021_04_22_MND_S1_B1,Flavio Frohlich,"And see whether you can kind of compute that back to the microbiome, the metabolites in response to that strong and obvious perturbation that we know perturbs the microbiome that we all we're interested in. So uh that's probably the best answer I can give to you really hard but a very important question.","{'propose decision': {'Explanation': ""Flavio proposes to 'compute that back to the microbiome, the metabolites in response to that strong and obvious perturbation', suggesting a specific approach to analyze the data.""}}",False,False,False,False,False,3,-6.0
2021_04_22_MND_S1,2021_04_22_MND_S1,247.0,251.0,2021_04_22_MND_S1_B1,Barbara Bendlin,"Thanks, Aaron. I'm clinical translational too, so you are not alone.","{'acknowledge contribution': ""Barbara acknowledges Aaron's contribution by thanking him for his introduction."", 'express agreement': ""Barbara expresses agreement with Aaron's self-description as 'clinical translational' by stating that she is also clinical translational.""}",False,False,False,False,False,3,-4.0
2021_04_22_MND_S1,2021_04_22_MND_S1,250.0,251.0,2021_04_22_MND_S1_B1,Barbara Bendlin,And then progressively make the system more complex.,"{'expand on existing idea': ""This utterance builds upon Shikha's idea of starting with germ-free mice and adding microbiota, suggesting to progressively increase the complexity of the system to study the effects on metabolites.""}",False,False,False,False,False,3,-1.0
2021_04_22_MND_S1,2021_04_22_MND_S1,251.0,251.0,2021_04_22_MND_S1_B1,Barbara Bendlin,Um and we also have Richard and Angela from our CSA here. So thanks for joining.,"{'acknowledge contribution': ""Barbara acknowledges Richard and Angela's presence and thanks them for joining the meeting.""}",False,False,False,False,False,3,0.0
2021_04_22_MND_S1,2021_04_22_MND_S1,251.0,251.0,2021_04_22_MND_S1_B1,Barbara Bendlin,"And the reference databases, which we still have to develop.","{'expand on existing idea': 'This utterance builds upon the previous discussion about identifying novel microbial or metabolomic species and the need for data analysis, adding that reference databases are needed to support this effort.'}",False,False,False,False,False,3,0.0
2021_04_22_MND_S1,2021_04_22_MND_S1,252.0,251.0,2021_04_22_MND_S1_B1,Arida Ebrahimi,So.,[{'None': 'No code applies to this utterance.'}],False,False,False,False,False,3,1.0
2021_04_22_MND_S1,2021_04_22_MND_S1,252.0,251.0,2021_04_22_MND_S1_B1,Shikha Nangia,So.,"[{'acknowledge contribution': 'The speaker is acknowledging the previous discussion, but not agreeing or expanding on it.'}]",False,False,False,False,False,3,1.0
2021_04_22_MND_S1,2021_04_22_MND_S1,252.0,251.0,2021_04_22_MND_S1_B1,Shikha Nangia,So so I know the eventual goal of this discussion is writing a proposal. Do you think uh the team right now is willing to go after any of these things as a proposal?,"{'propose decision': 'This utterance proposes a concrete choice for the group, which is to consider whether the team is willing to pursue any of the discussed topics as a proposal, suggesting a direction for future action.', 'encourage participation': 'This utterance invites others to contribute their opinions on whether the team is willing to pursue any of the discussed topics as a proposal.'}",False,False,False,False,False,3,1.0
