conference,session,center_time_sec,speaker,sent_time_sec,sentence,annotations,rx_decision,rx_assign,rx_summarize,decision_composite,rel_sec
2021_06_10_SLU_S1,2021_06_10_SLU_S1,720.6235721703011,Niki Parenteau,700.9017059301381,"But what you can do instead is go to areas where ancient rocks are exposed, um recently exposed.","[{'expand on existing idea': 'The speaker builds on the previous discussion about underground deposits by suggesting kerogen as an alternative to oil and mentioning its presence on Mars.'}, {'explain or define term or concept': 'The speaker explains what kerogen is, describing it as a more solid form of carbon and a complex material.'}, {'propose decision': 'The speaker proposes to look for kerogen in areas where ancient rocks are exposed, such as meter craters and impact sites, as an alternative to drilling.'}]",False,False,False,False,-19.72186624016308
2021_06_10_SLU_S1,2021_06_10_SLU_S1,720.6235721703011,Jeffrey Marlow,701.715909090909,"Um, one is this yeah, the idea of like um, ratios of elements, how universal those could be.","[{'summarize discussion': {'explanation': 'Jeffrey is summarizing the key discussion points to report out, as requested by Richard and Niki in the previous utterances.'}}]",False,False,True,False,-18.907663079392137
2021_06_10_SLU_S1,2021_06_10_SLU_S1,720.6235721703011,Jay Forsythe(he/him),701.9847553479224,"But there are different structural isomers of amino acids and in some amino acids, you know, like like ones that have longer carbon chains are like much way more upregulated than others, right?","[{'explain or define term or concept': 'Jay explains how the history of a meteorite, including heating and melting cycles, affects the organic compounds detected, and also explains the structural isomers of amino acids.', 'provide supporting evidence': 'Jay provides supporting evidence by mentioning the Murchison meteorite and how the alpha amino acids are upregulated in that meteorite relative to other structural isomers.', 'expand on existing idea': 'Jay expands on the idea of delivery versus destruction of building blocks by discussing the limitations of sample preparation techniques and analytical instrumentation used on extraterrestrial rovers, highlighting the complexity of organic analysis.', 'express enthusiasm': 'Jay expresses enthusiasm for the Benu sample return mission, highlighting its potential for in-depth analysis of organic content.'}]",False,False,False,False,-18.63881682237877
2021_06_10_SLU_S1,2021_06_10_SLU_S1,720.6235721703011,Niki Parenteau,703.5283540802213,"So you first have to characterize the habitability and and think about it in a more in a broader sense and then, you know, focus a little bit more on on life detection.","{'acknowledge contribution': {'Explanation': 'Niki acknowledges the previous speaker\'s contribution by saying ""No, that\'s good. Thank you.""'}, 'expand on existing idea': {'Explanation': 'Niki builds on the discussion about habitability by suggesting that considering elemental requirements can broaden the characterization of habitability, which then informs target selection for life detection.'}}",False,False,False,False,-17.09521809007981
2021_06_10_SLU_S1,2021_06_10_SLU_S1,720.6235721703011,Jeffrey Marlow,707.8005050505051,Interesting links between analog environments and experimentation.,"[{'summarize discussion': {'explanation': 'Jeffrey is summarizing the key discussion points to report out, as requested by Richard and Niki in the previous utterances.'}}]",False,False,True,False,-12.823067119796065
2021_06_10_SLU_S1,2021_06_10_SLU_S1,720.6235721703011,Niki Parenteau,708.4626320064988,"So you can look at meter um craters, you know, impacts, things where things have um areas where things have been excavated.","[{'expand on existing idea': 'The speaker builds on the previous discussion about underground deposits by suggesting kerogen as an alternative to oil and mentioning its presence on Mars.'}, {'explain or define term or concept': 'The speaker explains what kerogen is, describing it as a more solid form of carbon and a complex material.'}, {'propose decision': 'The speaker proposes to look for kerogen in areas where ancient rocks are exposed, such as meter craters and impact sites, as an alternative to drilling.'}]",False,False,False,False,-12.160940163802366
2021_06_10_SLU_S1,2021_06_10_SLU_S1,720.6235721703011,Niki Parenteau,708.8787878787879,"So I'll let you go ahead and get that set up and while uh Jeff is doing that, why don't we go ahead and go around the room and and do another brief introduction.","{'assign task': 'Niki assigns Jeff the task of setting up the Google Doc for recording notes.', 'encourage particpatioin': 'Niki encourages participation by suggesting that everyone introduce themselves and their specialty areas.'}",True,True,False,True,-11.74478429151327
2021_06_10_SLU_S1,2021_06_10_SLU_S1,720.6235721703011,Niki Parenteau,708.9363762102352,Um,"{'acknowledge contribution': {'Explanation': 'Niki acknowledges the previous speaker\'s contribution by saying ""No, that\'s good. Thank you.""'}, 'expand on existing idea': {'Explanation': 'Niki builds on the discussion about habitability by suggesting that considering elemental requirements can broaden the characterization of habitability, which then informs target selection for life detection.'}}",False,False,False,False,-11.687195960065992
2021_06_10_SLU_S1,2021_06_10_SLU_S1,720.6235721703011,Jeffrey Marlow,711.0353535353535,That's number one.,"[{'summarize discussion': {'explanation': 'Jeffrey is summarizing the key discussion points to report out, as requested by Richard and Niki in the previous utterances.'}}]",False,False,True,False,-9.58821863494768
2021_06_10_SLU_S1,2021_06_10_SLU_S1,720.6235721703011,Smadar Naoz,713.8457943925234,"about temperature, I wonder if we if we're also, I mean, there are other contributions for temperature apart from how close a planet is to a star, right?","[{'present new idea': 'The speaker introduces the idea that tidal effects and the environment of free-floating planets can contribute to temperature, which is an alternative to the common focus on proximity to a star.'}, {'expand on existing idea': 'The speaker expands on the discussion about temperature as a factor for habitability by suggesting tidal effects from exomoons and the environment of free-floating planets as additional factors influencing temperature.'}]",True,False,False,False,-6.777777777777715
