session_id,example_type,sent_id,nli_novelty,text,entailed_prior_sent_id,entailed_prior_text,context_before,context_after
2021_06_11_SLU_S3,new_idea,0,1.0,Can I interject?,,,[],"[[1, ""I realized we all have our hands up kind of permanently after we use it once.""], [2, ""Could could you say more about it?""]]"
2021_06_11_SLU_S3,new_idea,117,0.9991613637539558,"I should just mention there's also one layer of complexity beyond that, which is that many stars are actually born in pairs.",115.0,So I'm actually uh kind of a stellar chemist in some sense.,"[[115, ""So I'm actually uh kind of a stellar chemist in some sense.""], [116, ""I work on trying to understand the chemical composition or chemical DNA as we say of stars across the Milky Way to piece together the formation.""]]","[[118, ""And once you add a binary star, the dynamics, the internal dynamics become pretty chaotic.""], [119, ""Right.""]]"
2021_06_11_SLU_S3,new_idea,170,0.999089292541612,And then I'm also currently really interested in stars and stellar activity.,165.0,"Eve, you've had your hand up for a while, so.","[[168, ""I try and understand how the chemistry of those discs becomes the chemistry of planets.""], [169, ""I try and understand the dynamics of how planets and discs interact, whether that means for like impacts and kicking up um collisions in discs.""]]","[[171, ""So stars throughout these bursts of radiation that go out and, you know, impact the planets and their atmospheres and their life and the discs.""], [172, ""And so I'm really um trying to better understand that and then draw a connection to understand what that would do to say an organism hanging out on the surface of an exoplanet that gets hit by this burst of radiation.""]]"
2021_06_11_SLU_S3,reinforcement,462,0.0088856816291809,So that's a whole workshop that question.,461.0,So that's a whole workshop that question.,"[[460, ""So resilience might be the word that you're.""], [461, ""So that's a whole workshop that question.""]]","[[463, ""Um, I I want to point out that we have five minutes.""], [464, ""So the other thing that strikes me in all of this conversation and you're all coming from this from slightly different if not very different angles is this whole idea of robustness in terms of going from precursor molecules to bigger precursors in a very prebiotic sense.""]]"
2021_06_11_SLU_S3,reinforcement,256,0.0487578511238098,"But I don't know, it's just an interesting question.",252.0,"Um, but I think that's a really interesting question.","[[254, ""Um, and so there could have been some sort of robust biosphere in the deep sea along the subsurface.""], [255, ""Um, and then, you know, your other question was at what point would it have been detectable and I think that, you know, at that point it would have had to become robust enough to spread throughout the oceans to produce enough gases that has enough flux to be detectable.""]]","[[257, ""I think the late heavy bombardment kind of plays an interesting role there.""], [258, ""How about that interface?""]]"
2021_06_11_SLU_S3,reinforcement,337,0.0577281713485717,That would be my take on it.,332.0,Um the way I think about it is almost as a form of inevitability.,"[[335, ""Um and there's broad there's there's broad idea in the microbial world that microbes eventually will evolve a way to use that energy.""], [336, ""There is there's holes in that theory and counter examples.""]]","[[338, ""Maybe we shouldn't worry too much about that about not being able to see that that first that first step.""], [339, ""Uh so that's less than a quarter of Earth's lifetime and about a quarter of of of life's lifetime on earth.""]]"
2021_10_01_MZT_S2,new_idea,121,0.9991355272359216,And I'm also doing a doing a bit of work with rabies and raccoon as well.,116.0,I'm an assistant prof at Southern Illinois University.,"[[119, ""So I'm really more trained like not all my work is on disease specifically.""], [120, ""In term of disease, I've been working on recently more on whitetail deer and chronic wasting disease, like doing work locally in Illinois.""]]","[[122, ""Oh you got it perfectly.""], [123, ""Well, I mean, I'm probably the least qualified person to talk about drivers, but uh, I to me it seems that it's I want yeah, what I was wondering is there any way we we can base on like the life history of the pathogen.""]]"
2021_10_01_MZT_S2,new_idea,212,0.9990548064233736,I'm also thinking a lot about how to optimize surveillance programs um to be able to be truly early detection and response capable.,209.0,Um and uh I'm a disease modeler.,"[[210, ""I'm working a lot on African swine fever right now, trying to predict spatial spread, what would happen in an emergency event and what would be our optimal control strategy.""], [211, ""So I work a lot on um management problems, how to manage disease um and how to predict its spatial spread especially in wildlife populations and at the wildlife livestock interface.""]]","[[213, ""Um that's all I'll say.""], [214, ""That I wasn't exactly thinking that.""]]"
2021_10_01_MZT_S2,new_idea,194,0.9990193168632686,I think there's a really good opportunity for that right now because of SARS COV2 emerging in wildlife.,191.0,"I think it's worth uh folks that are the metabolic experts thinking about some projects about how whether you could map metabolic indicators to predicting host behavior and therefore transmission, you know, host contact and like Adela Oliva Chavez brought up super spreader.","[[192, ""So like characterizing a host population in terms of their super spreading ability, um transmission traits and or how it might affect viral evolution, like the amount of genetic diversity that's brought to bear in a population on potential for spillover.""], [193, ""Um, that those seem like good avenues for projects.""]]","[[195, ""I think, you know, so I want to start asking, okay, we have this going on, do we focus on predicting like where it's going to happen next or do we focus on what we need to do um, how we need to sample to find the clusters that have established and respond to them.""], [196, ""I um, I'm going to start out with something that I was thinking about last night.""]]"
2021_10_01_MZT_S2,reinforcement,256,0.0056798458099365,"And Daniel had had his hand up, but that's okay and that'll come to you.",254.0,"And Daniel Daniel had had his hand up, but that's okay and that'll come to you.","[[254, ""And Daniel Daniel had had his hand up, but that's okay and that'll come to you.""], [255, ""Go ahead, Daniel, you had yeah.""]]","[[257, ""Go ahead, Daniel, you had yeah.""], [258, ""Anybody have thoughts on um how would you?""]]"
