token,kind,hit_in,hit_out,base_in,base_out,rate_in_per_1000,rate_out_per_1000,ratio_in_out,min_participants
present new idea,ann,54,8058,238,38065,226.890756302521,211.69052935767766,1.0718040008256053,2
explain or define,ann,48,9478,238,38065,201.68067226890756,248.9951398922895,0.8099783487996624,2
summarize discussion,ann,4,11,238,38065,16.80672268907563,0.28897937738079604,58.15889972581002,2
action item,ann,0,4,238,38065,0.0,0.10508340995665309,9.516249909440987e-09,2
agreement,ann,17,4002,238,38065,71.42857142857143,105.13595166163142,0.6793924466368754,2
expand on existing idea,ann,85,13950,238,38065,357.14285714285717,366.47839222382765,0.9745263696877297,2
new idea,ann,55,8118,238,38065,231.09243697478993,213.26678050702748,1.083583840039689,2
define,ann,49,9813,238,38065,205.88235294117646,257.79587547615915,0.7986254728129571,2
decision,ann,14,3683,238,38065,58.8235294117647,96.75554971758834,0.607960262577721,2
encourage,ann,57,4893,238,38065,239.49579831932775,128.5432812294759,1.8631529865097805,2
assign task,ann,21,1650,238,38065,88.23529411764706,43.3469066071194,2.0355614973023135,2
agree,ann,19,4737,238,38065,79.83193277310924,124.44502824116643,0.6415035932071036,2
consensus,ann,0,18,238,38065,0.0,0.4728753448049389,2.114722217750172e-09,2
explain,ann,53,10170,238,38065,222.68907563025212,267.17456981479046,0.8334965254544627,2
question,ann,77,8964,238,38065,323.5294117647059,235.49192171285958,1.3738450534146922,2
rx_decision,rx,35,4845,238,38065,147.05882352941177,127.28228030999605,1.155375462877429,2
rx_assign,rx,24,2080,238,38065,100.84033613445378,54.64337317745961,1.8454266321758666,2
rx_summarize,rx,16,1987,238,38065,67.22689075630252,52.20018389596742,1.2878669333808246,2
rx_agree,rx,24,5835,238,38065,100.84033613445378,153.2904242742677,0.6578384567216808,2
present new idea,ann,54,8058,238,38065,226.890756302521,211.69052935767766,1.0718040008256053,3
explain or define,ann,48,9478,238,38065,201.68067226890756,248.9951398922895,0.8099783487996624,3
summarize discussion,ann,4,11,238,38065,16.80672268907563,0.28897937738079604,58.15889972581002,3
action item,ann,0,4,238,38065,0.0,0.10508340995665309,9.516249909440987e-09,3
agreement,ann,17,4002,238,38065,71.42857142857143,105.13595166163142,0.6793924466368754,3
expand on existing idea,ann,85,13950,238,38065,357.14285714285717,366.47839222382765,0.9745263696877297,3
new idea,ann,55,8118,238,38065,231.09243697478993,213.26678050702748,1.083583840039689,3
define,ann,49,9813,238,38065,205.88235294117646,257.79587547615915,0.7986254728129571,3
decision,ann,14,3683,238,38065,58.8235294117647,96.75554971758834,0.607960262577721,3
encourage,ann,57,4893,238,38065,239.49579831932775,128.5432812294759,1.8631529865097805,3
assign task,ann,21,1650,238,38065,88.23529411764706,43.3469066071194,2.0355614973023135,3
agree,ann,19,4737,238,38065,79.83193277310924,124.44502824116643,0.6415035932071036,3
consensus,ann,0,18,238,38065,0.0,0.4728753448049389,2.114722217750172e-09,3
explain,ann,53,10170,238,38065,222.68907563025212,267.17456981479046,0.8334965254544627,3
question,ann,77,8964,238,38065,323.5294117647059,235.49192171285958,1.3738450534146922,3
rx_decision,rx,35,4845,238,38065,147.05882352941177,127.28228030999605,1.155375462877429,3
rx_assign,rx,24,2080,238,38065,100.84033613445378,54.64337317745961,1.8454266321758666,3
rx_summarize,rx,16,1987,238,38065,67.22689075630252,52.20018389596742,1.2878669333808246,3
rx_agree,rx,24,5835,238,38065,100.84033613445378,153.2904242742677,0.6578384567216808,3
present new idea,ann,54,8058,238,38065,226.890756302521,211.69052935767766,1.0718040008256053,4
explain or define,ann,48,9478,238,38065,201.68067226890756,248.9951398922895,0.8099783487996624,4
summarize discussion,ann,4,11,238,38065,16.80672268907563,0.28897937738079604,58.15889972581002,4
action item,ann,0,4,238,38065,0.0,0.10508340995665309,9.516249909440987e-09,4
agreement,ann,17,4002,238,38065,71.42857142857143,105.13595166163142,0.6793924466368754,4
expand on existing idea,ann,85,13950,238,38065,357.14285714285717,366.47839222382765,0.9745263696877297,4
new idea,ann,55,8118,238,38065,231.09243697478993,213.26678050702748,1.083583840039689,4
define,ann,49,9813,238,38065,205.88235294117646,257.79587547615915,0.7986254728129571,4
decision,ann,14,3683,238,38065,58.8235294117647,96.75554971758834,0.607960262577721,4
encourage,ann,57,4893,238,38065,239.49579831932775,128.5432812294759,1.8631529865097805,4
assign task,ann,21,1650,238,38065,88.23529411764706,43.3469066071194,2.0355614973023135,4
agree,ann,19,4737,238,38065,79.83193277310924,124.44502824116643,0.6415035932071036,4
consensus,ann,0,18,238,38065,0.0,0.4728753448049389,2.114722217750172e-09,4
explain,ann,53,10170,238,38065,222.68907563025212,267.17456981479046,0.8334965254544627,4
question,ann,77,8964,238,38065,323.5294117647059,235.49192171285958,1.3738450534146922,4
rx_decision,rx,35,4845,238,38065,147.05882352941177,127.28228030999605,1.155375462877429,4
rx_assign,rx,24,2080,238,38065,100.84033613445378,54.64337317745961,1.8454266321758666,4
rx_summarize,rx,16,1987,238,38065,67.22689075630252,52.20018389596742,1.2878669333808246,4
rx_agree,rx,24,5835,238,38065,100.84033613445378,153.2904242742677,0.6578384567216808,4
present new idea,ann,54,8058,233,38070,231.75965665236052,211.66272655634359,1.0949478938634587,5
explain or define,ann,47,9479,233,38070,201.7167381974249,248.9887050170738,0.8101441315732876,5
summarize discussion,ann,4,11,233,38070,17.167381974248926,0.28894142369319675,59.41474813961882,5
action item,ann,0,4,233,38070,0.0,0.1050696086157079,9.517499909417196e-09,5
agreement,ann,17,4002,233,38070,72.96137339055794,105.12214342001576,0.6940628398276332,5
expand on existing idea,ann,84,13951,233,38070,360.51502145922746,366.45652744943527,0.9837866007421264,5
new idea,ann,55,8118,233,38070,236.05150214592274,213.2387706855792,1.1069820998634154,5
define,ann,48,9814,233,38070,206.00858369098714,257.78828473863933,0.7991386571350649,5
decision,ann,14,3683,233,38070,60.08583690987125,96.74284213291305,0.6210881920101068,5
encourage,ann,57,4893,233,38070,244.6351931330472,128.52639873916468,1.9033847951237925,5
assign task,ann,21,1650,233,38070,90.12875536480686,43.341213553979514,2.0795161919376364,5
agree,ann,18,4738,233,38070,77.25321888412017,124.45495140530602,0.6207323855915774,5
consensus,ann,0,18,233,38070,0.0,0.47281323877068554,2.114999995526775e-09,5
explain,ann,52,10171,233,38070,223.17596566523608,267.1657473075913,0.8353464765393576,5
question,ann,73,8968,233,38070,313.3047210300429,235.56606251641713,1.3300078868868388,5
rx_decision,rx,34,4846,233,38070,145.92274678111588,127.29183083793014,1.146363798999486,5
rx_assign,rx,24,2080,233,38070,103.00429184549357,54.63619648016811,1.8852756685212684,5
rx_summarize,rx,16,1987,233,38070,68.6695278969957,52.1933280798529,1.3156763598523449,5
rx_agree,rx,23,5836,233,38070,98.71244635193133,153.29655897031782,0.6439312598751854,5
present new idea,ann,40,8072,174,38129,229.88505747126436,211.7023787668179,1.0858879281861453,6
explain or define,ann,41,9485,174,38129,235.63218390804596,248.76078575362584,0.9472239894814862,6
summarize discussion,ann,4,11,174,38129,22.988505747126435,0.28849432190720975,79.684430239275,6
action item,ann,0,4,174,38129,0.0,0.10490702614807626,9.532249909136212e-09,6
agreement,ann,12,4007,174,38129,68.9655172413793,105.0906134438354,0.6562481175217516,6
expand on existing idea,ann,61,13974,174,38129,350.5747126436782,366.49269584830444,0.9565667109197411,6
define,ann,42,9820,174,38129,241.3793103448276,257.5467491935272,0.9372252264908681,6
new idea,ann,41,8132,174,38129,235.63218390804596,213.27598415903907,1.1048228652515848,6
