conference,session,speaker,timestamp,speaking_duration,nods_others,smile_self,smile_other,distracted_others,hand_gesture,interruption,overlap,screenshare,annotations,transcript,has_new_idea,has_explanation,has_decision,global_session,clip_number,start_sec,end_sec,clip_duration_sec,clip_offset_sec,start_sec_adjusted,end_sec_adjusted,start_minute_adjusted,transcript_clean
2021MND,2021_04_22_MND_S5,Joel Bornstein,02:29-02:32,3.0,0,0.0,0.0,0,,No,No,No,{'encourage participation': 'Joel is encouraging someone else to contribute by asking who wants to go next.'},Okay. Who wants to go next?,False,False,False,2021MND_2021_04_22_MND,5.0,149.0,152.0,600.0,1803.0,1952.0,1955.0,32.53333333333333,okay. who wants to go next?
2021MND,2021_04_22_MND_S5,Joel Bornstein,03:14-03:17,3.0,0,0.0,0.0,0,,No,No,No,{'encourage participation': 'Joel is encouraging someone else to contribute by asking who wants to go next.'},Okay. Who wants to go next?,False,False,False,2021MND_2021_04_22_MND,5.0,194.0,197.0,600.0,1803.0,1997.0,2000.0,33.28333333333333,okay. who wants to go next?
2021MND,2021_04_22_MND_S5,Joel Bornstein,04:16-04:17,1.0,0,0.0,0.0,0,,No,No,No,"{'express agreement': ""Joel expresses agreement with William's explanation of the deep brain stimulation device.""}",Great.,False,False,False,2021MND_2021_04_22_MND,5.0,256.0,257.0,600.0,1803.0,2059.0,2060.0,34.31666666666667,great.
2021MND,2021_04_22_MND_S5,Joel Bornstein,05:56-05:57,1.0,0,0.0,0.0,0,,No,No,No,"{'acknowledge contribution': ""Joel acknowledges Sarah's introduction and contribution to the meeting.""}",Thank you.,False,False,False,2021MND_2021_04_22_MND,5.0,356.0,357.0,600.0,1803.0,2159.0,2160.0,35.983333333333334,thank you.
2021MND,2021_04_22_MND_S5,Jeff Balser,06:06-06:06,0.0,0,0.0,0.0,0,,No,No,No,"{'express agreement': ""Jeff Balser expresses agreement with Joel's statement that they have a recorder.""}",Great.,False,False,False,2021MND_2021_04_22_MND,5.0,366.0,366.0,600.0,1803.0,2169.0,2169.0,36.15,great.
2021MND,2021_04_22_MND_S5,William Zuberbierg,06:21-06:21,0.0,0,0.0,0.0,0,,No,Yes,No,"[{'encourage participation': ""William is about to speak, likely in response to Joel's question of what to do next, thus encouraging further participation in the discussion.""}]","Yeah, so",False,False,False,2021MND_2021_04_22_MND,5.0,381.0,381.0,600.0,1803.0,2184.0,2184.0,36.4,"yeah, so"
2021MND,2021_04_22_MND_S5,Lee Berg,06:50-06:50,0.0,0,0.0,0.0,0,,No,No,No,"{'acknowledge contribution': ""Lee Berg says 'Okay', which acknowledges the previous turn-taking and indicates readiness to proceed, but does not agree or expand on any ideas.""}",Okay.,False,False,False,2021MND_2021_04_22_MND,5.0,410.0,410.0,600.0,1803.0,2213.0,2213.0,36.88333333333333,okay.
2021MND,2021_04_22_MND_S5,Joel Bornstein,08:01-08:01,0.0,0,0.0,0.0,0,,No,No,No,"{'acknowledge contribution': ""Joel acknowledges Lee's contribution about the liver being an interesting organ.""}",Okay.,False,False,False,2021MND_2021_04_22_MND,5.0,481.0,481.0,600.0,1803.0,2284.0,2284.0,38.06666666666667,okay.
2021MND,2021_04_22_MND_S5,All Bryan Bayles,02:17-02:17,0.0,0,0.0,0.0,0,,No,No,Yes,{'express agreement': 'The speaker is agreeing with the definition of small molecules provided by the previous speaker.'},Okay.,False,False,False,2021MND_2021_04_22_MND,5.0,137.0,137.0,600.0,1803.0,1940.0,1940.0,32.333333333333336,okay.
2021MND,2021_04_22_MND_S5,Jeff Dongga,05:11-05:11,0.0,0,0.0,0.0,0,,No,No,Yes,"{'express agreement': 'Jeff Dongga says ""Sure"", which expresses agreement with Jae Sung Kim\'s question about the blood brain barrier.'}",Sure.,False,False,False,2021MND_2021_04_22_MND,5.0,311.0,311.0,600.0,1803.0,2114.0,2114.0,35.233333333333334,sure.
2021MND,2021_04_22_MND_S5,Jeff Dongga,05:11-05:11,0.0,0,0.0,0.0,0,,No,No,Yes,{'express agreement': 'Jeff Dongga agrees with the previous statement about the blood brain barrier.'},Sure.,False,False,False,2021MND_2021_04_22_MND,5.0,311.0,311.0,600.0,1803.0,2114.0,2114.0,35.233333333333334,sure.
2021MND,2021_04_22_MND_S5,Stephanie Grainger McOgga,05:11-05:11,0.0,0,0.0,0.0,0,,No,No,Yes,{'express agreement': 'Stephanie agrees with the previous statement made by Jeff about the blood brain barrier.'},Sure.,False,False,False,2021MND_2021_04_22_MND,5.0,311.0,311.0,600.0,1803.0,2114.0,2114.0,35.233333333333334,sure.
2021MND,2021_04_22_MND_S5,All,06:04-06:04,0.0,0,0.0,0.0,0,,No,No,Yes,"[{'acknowledge contribution': ""The utterance 'Thank you' acknowledges the contribution of the person who was speaking before.""}]",Thank you.,False,False,False,2021MND_2021_04_22_MND,5.0,364.0,364.0,600.0,1803.0,2167.0,2167.0,36.11666666666667,thank you.
