conference,session,center_time_sec,teaser_context,human_is_decision,human_decision_type,human_initiator,human_notes,human_confidence_1to5
2021_06_10_SLU_S1,2021_06_10_SLU_S1,720.9941860465117,"[ -19.3s] Jeffrey Marlow: Um, one is this yeah, the idea of like um, ratios of elements, how universal those could be.
[ -19.0s] Jay Forsythe(he/him): But there are different structural isomers of amino acids and in some amino acids, you know, like like ones that have longer carbon chains are like much way more upregulated than others, right?
[ -17.5s] Niki Parenteau: So you first have to characterize the habitability and and think about it in a more in a broader sense and then, you know, focus a little bit more on on life detection.
[ -13.2s] Jeffrey Marlow: Interesting links between analog environments and experimentation.
[ -12.5s] Niki Parenteau: So you can look at meter um craters, you know, impacts, things where things have um areas where things have been excavated.
[ -12.1s] Niki Parenteau: So I'll let you go ahead and get that set up and while uh Jeff is doing that, why don't we go ahead and go around the room and and do another brief introduction.
[ -12.1s] Niki Parenteau: Um
[ -10.0s] Jeffrey Marlow: That's number one.
[  -7.1s] Smadar Naoz: about temperature, I wonder if we if we're also, I mean, there are other contributions for temperature apart from how close a planet is to a star, right?
[  -6.6s] Niki Parenteau: Um, so it's it is a possibility to look for that.
[  -4.5s] Jeffrey Marlow: Number two, um, are perhaps uh, over focus on oxygen in the past, um, and maybe looking at different elements or nutrients.",,,,,
2021_06_10_SLU_S1,2021_06_10_SLU_S1,766.4970873786408,"[ -19.1s] Jay Forsythe(he/him): I wanted to mention um um uh smarter is it is that right?
[ -18.7s] Noah Planavsky: I'd take another minute.
[ -17.8s] Erik Sperling: It's just you know, there's other things as well.
[ -17.7s] Noah Planavsky: Sorry.
[ -17.4s] Stilianos Louca: I'm coming long back, coming from physics, um, and and mathematics and then moved to sort of biological modeling, bioinformatics and nowadays my lab we do uh we study microbial ecology and evolution using a lot of sequencing techniques, phylogenomics.
[ -17.0s] Niki Parenteau: No worries.
[ -16.0s] Noah Planavsky: That's a tricky.
[ -15.4s] Noah Planavsky: I know.
[ -14.6s] Jay Forsythe(he/him): You you brought up um, you know, like deliver like net delivery versus um destruction, right?
[ -14.5s] Erik Sperling: And yeah, everyone's known that but we need to, you know, kind of refocus that.
[ -13.3s] Noah Planavsky: Even though the goal of this is to not sit silently by ourselves.",,,,,
2021_06_10_SLU_S1,2021_06_10_SLU_S1,772.3589869682812,"[ -19.2s] Noah Planavsky: Even though the goal of this is to not sit silently by ourselves.
[ -17.9s] Jeffrey Marlow: Sure.
[ -15.3s] Smadar Naoz: That's a very extreme place.
[ -15.2s] Niki Parenteau: So thanks Jeff for summarizing that.
[ -14.4s] Morgan Raven: I was gonna say it does seem like there might be some sort of broad first principles you could put on a question like this if we just think about like if you're living in an aqueous system, you need something that's hydrophobic and you need something that's hydrophilic and you have an edge and you have an inside and like so there's going to be some bounds on how much, you know, cell membrane that you need and how much volume that you need and at some point maybe just those like super basic functional classes are able to tell us something about we need something that's going to, you know, fold in a hydrophilic way or something like that and I mean those bounds might be way too big to be useful and cell size, who knows, but um.
[ -14.4s] Niki Parenteau: We'll just do that at the beginning and then we'll chat.
[ -13.8s] Morgan Raven: I don't know.
[ -12.6s] Smadar Naoz: Maybe to follow up on this question, I I have another question along these lines.
[ -11.4s] Morgan Raven: Um I think there are certainly ways to get false positive on that kind of thing.
[ -10.9s] Noah Planavsky: Struggling to throw anything other than a word salad on the old page.
[  -8.9s] Smadar Naoz: I don't know if people are interested in that at all, but I'm trying to be very if you notice because I'm so out of the field of all of you guys, so I'm trying to push a lot.",,,,,
2021_06_10_SLU_S1,2021_06_10_SLU_S1,757.1883495145631,"[ -20.0s] Jay Forsythe(he/him): And so they the like the history of those in terms of their kind of weathering and and things like like melting cycles, things like that is really plays a huge role in the content, the organic content that we detect.
[ -19.8s] Niki Parenteau: So how are we doing?
[ -19.3s] Niki Parenteau: Oh sorry, go ahead, go ahead.
[ -18.8s] Niki Parenteau: Do we need another minute or so?
[ -17.9s] Stilianos Louca: I'm at the University of Oregon.
[ -15.6s] Morgan Raven: Yeah, I mean I guess I just any place you can get kerogen, you can theoretically crack it and obviously some types of molecules are going to be better for that than others and lipids are the main thing that we're thinking about here, but I mean it took them forever to even figure out uh petroleum was biogenic and they kind of needed biomarkers to do it because there I mean there certainly are theoretically ways to produce stuff like that that would not necessarily require life unless you had some sort of sort of more detailed molecular information about what that is and that could be a bio strictly defined or just something about complexity.
[ -14.8s] Jeffrey Marlow: So that's what jumped out at me at least.
[ -12.5s] Jay Forsythe(he/him): I also wanted to related to that.
[ -11.5s] Erik Sperling: I just want to clarify really quick that oxygen is really important.
[ -11.0s] Morgan Raven: And like how much of phosphorus and nitrogen being the story and iron being the story is something we could assume is something fundamental that comes out of continental differentiation and crustal differentiation and how much of it is a weird quirk of the way our minerals work on the surface Earth and I don't know, have you guys thought about that before?
[ -10.9s] Smadar Naoz: So not necessarily, I mean, there is a prediction of a lot of free floating planets that usually people think that are completely not interesting, but if this free floating planet isn't actually a very dense area, um and there are lots of stars around, you know, overall it gets uh the temperature that it needs.",,,,,
2021_06_10_SLU_S1,2021_06_10_SLU_S1,732.9342560553633,"[ -19.1s] Smadar Naoz: about temperature, I wonder if we if we're also, I mean, there are other contributions for temperature apart from how close a planet is to a star, right?
[ -18.5s] Niki Parenteau: Um, so it's it is a possibility to look for that.
[ -16.5s] Jeffrey Marlow: Number two, um, are perhaps uh, over focus on oxygen in the past, um, and maybe looking at different elements or nutrients.
[ -16.4s] Jay Forsythe(he/him): Um, the for example like Murchison one of the reasons why that caught so much attention one one it was like really the first study but also a lot of the like alpha amino acids that we use in our proteins um are pretty upregulated in that one relative to some of the other structural isomers.
[ -14.1s] Niki Parenteau: And um, as Richard said, we'll kind of keep it brief, but it'd be helpful to know, you know, who you are, your name, where you work and and kind of your specialty areas.
[ -12.4s] Niki Parenteau: Um, but again, it might be difficult uh to put it in the in the framework that Vicky was talking about assessing false positives.
[ -12.3s] Smadar Naoz: So we can have um tidal effects that will contribute to this.
[ -12.3s] Noah Planavsky: You have actual empirical records of it and then you you have of course record in in life itself of of what would be limiting the scope of the of the biosphere.
[ -11.9s] Solange Duhamel: So I think thinking of both the microbes, their processes but also their environments, everything is tied together which is also a difficulty because uh part of it is can you mimic that in the lab and uh how can how much can you simplify without losing important components that would uh artificially drive your results towards uh the wrong answer.
[  -8.7s] Jeffrey Marlow: Um, this idea of meteorites as net positive or net negative impacts in general.
[  -6.4s] Niki Parenteau: So anybody else want to jump in on that?",,,,,
2021_06_10_SLU_S1,2021_06_10_SLU_S1,714.4008935824533,"[ -19.7s] Niki Parenteau: There are some platforms being developed um with drills, but it's it's fairly short.
[ -18.8s] Niki Parenteau: If you can just create a new Google Doc and if you want, if you guys think it would be more efficient for you to share your screen and to record the notes as we go, if folks would think that would be helpful to kind of reflect on the conversation that we're having, we can do that.
[ -18.5s] Jeffrey Marlow: Um, I'll run through these real quick and please correct me.
[ -16.2s] Noah Planavsky: Yeah, I think the the figuring out the the not only what's limiting but the kind of the the size of the biosphere in the past is is I think is is one of the most most kind of fundamental unresolved questions about Earth's history and I think there are definitely there's there's it'd be fun it'd be great to talk about ways in which you could actually do that from look for say evidence for extreme phosphorus limitation not in geochemical records but in in molecular records and um and the other way you could tackle that of course to think of everybody's take on it would be that geochemical you also have to have something that works from a mass balanced Earth system.
[ -13.5s] Niki Parenteau: But what you can do instead is go to areas where ancient rocks are exposed, um recently exposed.
[ -12.7s] Jeffrey Marlow: Um, one is this yeah, the idea of like um, ratios of elements, how universal those could be.
[ -12.4s] Jay Forsythe(he/him): But there are different structural isomers of amino acids and in some amino acids, you know, like like ones that have longer carbon chains are like much way more upregulated than others, right?
[ -10.9s] Niki Parenteau: So you first have to characterize the habitability and and think about it in a more in a broader sense and then, you know, focus a little bit more on on life detection.
[  -6.6s] Jeffrey Marlow: Interesting links between analog environments and experimentation.
[  -5.9s] Niki Parenteau: So you can look at meter um craters, you know, impacts, things where things have um areas where things have been excavated.
[  -5.5s] Niki Parenteau: So I'll let you go ahead and get that set up and while uh Jeff is doing that, why don't we go ahead and go around the room and and do another brief introduction.",,,,,
2021_06_10_SLU_S1,2021_06_10_SLU_S1,624.2492307692308,"[  -8.7s] Rika Anderson: eukaryotes and so on.
[  -6.8s] Stilianos Louca: whether if there was life on a planet, how likely would it have been to create such deposits?
[  -6.1s] Morgan Raven: that might not be a cell or a nucleus, but some sort of compartment.
[  -3.7s] Solange Duhamel: Hello.
[  -3.5s] Erik Sperling: to to forest fires, the fire triangle and oxygen um fuel and temperature being the important things uh in controlling large uh kind of habitability.
[  -3.3s] Niki Parenteau: are you familiar with like different um astrochemistry studies, you know, like how to kind of poke at that like how universal are these compounds that are that are synthesized on different parent bodies?
[  -2.7s] Niki Parenteau: Hi, welcome.
[  -1.7s] Rika Anderson: Um, and so one thing I've been thinking of about ever since Vicky and um Tim's talk this morning was, you know, can we try to get a better handle on the nutrient availability through Earth's history, how would that have affected the evolution of life over time?
[  -1.1s] Morgan Raven: Maybe there's a chemical argument there.
[  -0.1s] Stilianos Louca: And then also is the question and maybe that's impossible right now, could we then also have a way to look for the existence of such deposits underground?
[  +0.0s] Niki Parenteau: It looks like we're all here.",,,,,
2021_06_10_SLU_S1,2021_06_10_SLU_S1,720.5463038180342,"[ -19.6s] Niki Parenteau: But what you can do instead is go to areas where ancient rocks are exposed, um recently exposed.
[ -18.8s] Jeffrey Marlow: Um, one is this yeah, the idea of like um, ratios of elements, how universal those could be.
[ -18.6s] Jay Forsythe(he/him): But there are different structural isomers of amino acids and in some amino acids, you know, like like ones that have longer carbon chains are like much way more upregulated than others, right?
[ -17.0s] Niki Parenteau: So you first have to characterize the habitability and and think about it in a more in a broader sense and then, you know, focus a little bit more on on life detection.
[ -12.7s] Jeffrey Marlow: Interesting links between analog environments and experimentation.
[ -12.1s] Niki Parenteau: So you can look at meter um craters, you know, impacts, things where things have um areas where things have been excavated.
[ -11.7s] Niki Parenteau: So I'll let you go ahead and get that set up and while uh Jeff is doing that, why don't we go ahead and go around the room and and do another brief introduction.
[ -11.6s] Niki Parenteau: Um
[  -9.5s] Jeffrey Marlow: That's number one.
[  -6.7s] Smadar Naoz: about temperature, I wonder if we if we're also, I mean, there are other contributions for temperature apart from how close a planet is to a star, right?
[  -6.1s] Niki Parenteau: Um, so it's it is a possibility to look for that.",,,,,
2021_06_10_SLU_S1,2021_06_10_SLU_S1,718.8787878787879,"[ -18.0s] Niki Parenteau: But what you can do instead is go to areas where ancient rocks are exposed, um recently exposed.
[ -17.2s] Jeffrey Marlow: Um, one is this yeah, the idea of like um, ratios of elements, how universal those could be.
[ -16.9s] Jay Forsythe(he/him): But there are different structural isomers of amino acids and in some amino acids, you know, like like ones that have longer carbon chains are like much way more upregulated than others, right?
[ -15.4s] Niki Parenteau: So you first have to characterize the habitability and and think about it in a more in a broader sense and then, you know, focus a little bit more on on life detection.
[ -11.1s] Jeffrey Marlow: Interesting links between analog environments and experimentation.
[ -10.4s] Niki Parenteau: So you can look at meter um craters, you know, impacts, things where things have um areas where things have been excavated.
[ -10.0s] Niki Parenteau: So I'll let you go ahead and get that set up and while uh Jeff is doing that, why don't we go ahead and go around the room and and do another brief introduction.
[  -9.9s] Niki Parenteau: Um
[  -7.8s] Jeffrey Marlow: That's number one.
[  -5.0s] Smadar Naoz: about temperature, I wonder if we if we're also, I mean, there are other contributions for temperature apart from how close a planet is to a star, right?
[  -4.5s] Niki Parenteau: Um, so it's it is a possibility to look for that.",,,,,
2021_06_10_SLU_S1,2021_06_10_SLU_S1,626.5753846153846,"[ -11.0s] Rika Anderson: eukaryotes and so on.
[  -9.1s] Stilianos Louca: whether if there was life on a planet, how likely would it have been to create such deposits?
[  -8.4s] Morgan Raven: that might not be a cell or a nucleus, but some sort of compartment.
[  -6.1s] Solange Duhamel: Hello.
[  -5.8s] Erik Sperling: to to forest fires, the fire triangle and oxygen um fuel and temperature being the important things uh in controlling large uh kind of habitability.
[  -5.6s] Niki Parenteau: are you familiar with like different um astrochemistry studies, you know, like how to kind of poke at that like how universal are these compounds that are that are synthesized on different parent bodies?
[  -5.1s] Niki Parenteau: Hi, welcome.
[  -4.0s] Rika Anderson: Um, and so one thing I've been thinking of about ever since Vicky and um Tim's talk this morning was, you know, can we try to get a better handle on the nutrient availability through Earth's history, how would that have affected the evolution of life over time?
[  -3.4s] Morgan Raven: Maybe there's a chemical argument there.
[  -2.4s] Stilianos Louca: And then also is the question and maybe that's impossible right now, could we then also have a way to look for the existence of such deposits underground?
[  -2.3s] Niki Parenteau: It looks like we're all here.",,,,,
