conference,session,source_row_index,sent_index_in_row,sentence,dialogue_act,global_session,speaker,timestamp,global_start_sec,global_end_sec,clip_number,sent_start_sec_est,sent_end_sec_est,global_start_sec_y,global_end_sec_y,session_core,sent_time_sec,annotations,global_timestamp_sec,_utter_row,_sent_idx
2021_09_30_MZT_S6,2021_09_30_MZT_S6,,,And I'm trying to understand I guess susceptibility because that also comes into uh into the equation obviously I'm I'm kind of outing myself as a modeler.,,2021_09_30_MZT_S6_MZT,Ana Bento,,,,,1090.0,1090.0,,,MZT,1090.0,"{'expand on existing idea': 'The speaker is building on the previous discussion about transmission chains by introducing the concept of susceptibility as a necessary condition, adding to the complexity of the discussion.', 'explain or define term or concept': 'The speaker explains that susceptibility is a necessary condition for a transmission chain to occur, clarifying its role in the process.', 'acknowledge contribution': 'The speaker acknowledges that she is a modeler, which is relevant to the discussion of transmission chains and susceptibility.'}",1090.0,0,0
2021_09_30_MZT_S6,2021_09_30_MZT_S6,,,"Um, kind of like susceptibility is is is kind of like a necessary condition for a transmission chain to occur.",,2021_09_30_MZT_S6_MZT,Ana Bento,,,,,1090.0,1090.0,,,MZT,1090.0,"{'expand on existing idea': 'The speaker is building on the previous discussion about transmission chains by introducing the concept of susceptibility as a necessary condition, adding to the complexity of the discussion.', 'explain or define term or concept': 'The speaker explains that susceptibility is a necessary condition for a transmission chain to occur, clarifying its role in the process.', 'acknowledge contribution': 'The speaker acknowledges that she is a modeler, which is relevant to the discussion of transmission chains and susceptibility.'}",1090.0,1,0
2021_09_30_MZT_S6,2021_09_30_MZT_S6,,,"Okay, I was.",,2021_09_30_MZT_S6_MZT,Ana Bento,,,,,1090.0,1090.0,,,MZT,1090.0,"{'acknowledge contribution': ""The speaker is acknowledging the previous speaker's contribution, but not agreeing or expanding on it.""}",1090.0,2,0
2021_09_30_MZT_S6,2021_09_30_MZT_S6,,,"So I guess what all of these have in common though is that we always start with the pathogen, right?",,2021_09_30_MZT_S6_MZT,Ana Bento,,,,,1090.0,1090.0,,,MZT,1090.0,"{'explain or define term or concept': 'The speaker is defining a key component of a transmission chain, which is the pathogen, and its role as the starting point.', 'expand on existing idea': ""The speaker builds upon Pilar's previous statement about different transmission paths by highlighting the common starting point: the pathogen and potential reservoirs."", 'express agreement': 'The speaker agrees with the previous statements by Troy and Pilar about the complexity of transmission chains.'}",1090.0,3,0
2021_09_30_MZT_S6,2021_09_30_MZT_S6,,,"So for any transmission chain to even start, we need to have a pathogen and perhaps we can have a reservoir, uh can be one or multiple and I suppose it can be direct versus indirect as as Pilar was saying, but I I think you we cannot start talking about a transmission chain without thinking about the pathogen or the infectious agent first, I suppose.",,2021_09_30_MZT_S6_MZT,Ana Bento,,,,,1090.0,1090.0,,,MZT,1090.0,"{'explain or define term or concept': 'The speaker is defining a key component of a transmission chain, which is the pathogen, and its role as the starting point.', 'expand on existing idea': ""The speaker builds upon Pilar's previous statement about different transmission paths by highlighting the common starting point: the pathogen and potential reservoirs."", 'express agreement': 'The speaker agrees with the previous statements by Troy and Pilar about the complexity of transmission chains.'}",1090.0,4,0
2021_09_30_MZT_S6,2021_09_30_MZT_S6,,,Are we going to discuss about uh all different pathogens here or only focusing on a particular pathogen or,,2021_09_30_MZT_S6_MZT,Joyce Jose,,,,,994.0,1002.0,,,MZT,998.0,"{'ask clarifying question': 'Joyce asks a clarifying question about the scope of the discussion, specifically whether it will cover all pathogens or focus on a particular one, to better understand the direction of the conversation.'}",2084.0,5,0
2021_09_30_MZT_S6,2021_09_30_MZT_S6,,,I do computer so I can do it.,,2021_09_30_MZT_S6_MZT,Joyce Jose,,,,,786.0,788.0,,,MZT,787.0,"{'assign task': ""Joyce volunteers to be the recorder, and since she says she 'does computer,' she is implying she has the skills to take notes using the slide template.""}",2870.0,6,0
2021_09_30_MZT_S6,2021_09_30_MZT_S6,,,I do computer so I can do it.,,2021_09_30_MZT_S6_MZT,Joyce Jose,,,,,2878.0,2878.0,,,MZT,2878.0,"{'offer constructive criticism': 'This utterance is not offering constructive criticism, so this code is not applicable.', 'express agreement': 'This utterance is not expressing agreement, so this code is not applicable.', 'assign task': 'This utterance is not assigning a task, so this code is not applicable.', 'confirm decision': 'This utterance is not confirming a decision, so this code is not applicable.'}",2878.0,7,0
2021_09_30_MZT_S6,2021_09_30_MZT_S6,,,Okay.,,2021_09_30_MZT_S6_MZT,Joyce Jose,,,,,2976.0,2976.0,,,MZT,2976.0,"{'acknowledge contribution': ""Joyce is acknowledging Matt's statement that they will take a minute to write down some initial thoughts on the topic of transmission and chains.""}",2976.0,8,0
2021_09_30_MZT_S6,2021_09_30_MZT_S6,,,Sure.,,2021_09_30_MZT_S6_MZT,Joyce Jose,,,,,3783.0,3783.0,,,MZT,3783.0,"{'express agreement': 'Joyce agrees to take notes, confirming her willingness to do so.'}",3783.0,9,0
2021_09_30_MZT_S6,2021_09_30_MZT_S6,,,"Chagas disease that can infect animals, like you have um",,2021_09_30_MZT_S6_MZT,Maria Fernandez,,,,,4013.0,4013.0,,,MZT,4013.0,"{'expand on existing idea': ""Pilar is expanding on the discussion of transmission chains by bringing up vector-borne diseases, building on Troy's earlier point about animal to human vs. human to human transmission by adding the complexity of vector involvement.""}",4013.0,10,0
