conference,session,source_row_index,sent_index_in_row,sentence,dialogue_act,global_session,speaker,timestamp,global_start_sec,global_end_sec,clip_number,sent_start_sec_est,sent_end_sec_est,global_start_sec_y,global_end_sec_y,session_core,sent_time_sec,annotations,global_timestamp_sec,_utter_row,_sent_idx
2021_04_23_MND_S2,2021_04_23_MND_S2,,,But then you have a set of outputs that are the ones that you're actually looking at as your biomarkers that will potentially impact something else in the organism.,,2021_04_23_MND_S2_MND,Amina Schartup,,,,,860.0000000000001,865.5972696245734,,,MND,862.7986348122868,"{'explain or define term or concept': 'Amina is defining biomarkers as outputs that impact the organism, building on the discussion of biomarkers of microbial origin for neurological diseases.', 'expand on existing idea': 'Amina expands on the discussion about biomarkers by focusing on the outputs of the system that can impact the organism, which is a continuation of the discussion about biomarkers of microbial origin for neurological diseases.'}",860.0,0,0
2021_04_23_MND_S2,2021_04_23_MND_S2,,,So that's the way I see this and I am really focused on how do human beings um in general response to environmental contaminants.,,2021_04_23_MND_S2_MND,Amina Schartup,,,,,865.5972696245733,870.0,,,MND,867.7986348122867,"{'explain or define term or concept': 'Amina is defining biomarkers as outputs that impact the organism, building on the discussion of biomarkers of microbial origin for neurological diseases.', 'expand on existing idea': 'Amina expands on the discussion about biomarkers by focusing on the outputs of the system that can impact the organism, which is a continuation of the discussion about biomarkers of microbial origin for neurological diseases.'}",860.0,1,0
2021_04_23_MND_S2,2021_04_23_MND_S2,,,Hi.,,2021_04_23_MND_S2_MND,Amina Schartup,,,,,860.0,860.0,,,MND,860.0,"[{'explain or define term or concept': 'Amina explains her background as a chemical oceanographer and the focus of her work on organometallic compounds and trace metals, providing context for her expertise.'}, {'provide supporting evidence': ""Amina provides supporting evidence by stating that mercury is a neurotoxicant linked to neurodegenerative diseases like Alzheimer's, connecting her work to the meeting's theme.""}]",860.0,2,0
2021_04_23_MND_S2,2021_04_23_MND_S2,,,Um I am an assistant professor at the Scripps Institution of Oceanography.,,2021_04_23_MND_S2_MND,Amina Schartup,,,,,860.0,860.0,,,MND,860.0,"[{'explain or define term or concept': 'Amina explains her background as a chemical oceanographer and the focus of her work on organometallic compounds and trace metals, providing context for her expertise.'}, {'provide supporting evidence': ""Amina provides supporting evidence by stating that mercury is a neurotoxicant linked to neurodegenerative diseases like Alzheimer's, connecting her work to the meeting's theme.""}]",860.0,3,0
2021_04_23_MND_S2,2021_04_23_MND_S2,,,I am a chemical oceanographer by training.,,2021_04_23_MND_S2_MND,Amina Schartup,,,,,860.0,860.0,,,MND,860.0,"[{'explain or define term or concept': 'Amina explains her background as a chemical oceanographer and the focus of her work on organometallic compounds and trace metals, providing context for her expertise.'}, {'provide supporting evidence': ""Amina provides supporting evidence by stating that mercury is a neurotoxicant linked to neurodegenerative diseases like Alzheimer's, connecting her work to the meeting's theme.""}]",860.0,4,0
2021_04_23_MND_S2,2021_04_23_MND_S2,,,"Um most of my work is focused on organometallic compounds, trace metals.",,2021_04_23_MND_S2_MND,Amina Schartup,,,,,860.0,860.0,,,MND,860.0,"[{'explain or define term or concept': 'Amina explains her background as a chemical oceanographer and the focus of her work on organometallic compounds and trace metals, providing context for her expertise.'}, {'provide supporting evidence': ""Amina provides supporting evidence by stating that mercury is a neurotoxicant linked to neurodegenerative diseases like Alzheimer's, connecting her work to the meeting's theme.""}]",860.0,5,0
2021_04_23_MND_S2,2021_04_23_MND_S2,,,"So I study how they cycle um in the environment from emissions uh through mostly um anthropogenic activity to um how they transform in the oceans and then uh biomagnify and bioaccumulate in food webs and a component of my work is looking at the human health impacts of uh mercury in particular, how people ingest them through fish consumption and what this means for exposure and health.",,2021_04_23_MND_S2_MND,Amina Schartup,,,,,860.0,860.0,,,MND,860.0,"[{'explain or define term or concept': 'Amina explains her background as a chemical oceanographer and the focus of her work on organometallic compounds and trace metals, providing context for her expertise.'}, {'provide supporting evidence': ""Amina provides supporting evidence by stating that mercury is a neurotoxicant linked to neurodegenerative diseases like Alzheimer's, connecting her work to the meeting's theme.""}]",860.0,6,0
2021_04_23_MND_S2,2021_04_23_MND_S2,,,Um the reason I guess the connection here is that the mercury um is uh is a neurotoxicant and it's been linked to uh all kinds of neurodegenerative uh diseases including Alzheimer's.,,2021_04_23_MND_S2_MND,Amina Schartup,,,,,860.0,860.0,,,MND,860.0,"[{'explain or define term or concept': 'Amina explains her background as a chemical oceanographer and the focus of her work on organometallic compounds and trace metals, providing context for her expertise.'}, {'provide supporting evidence': ""Amina provides supporting evidence by stating that mercury is a neurotoxicant linked to neurodegenerative diseases like Alzheimer's, connecting her work to the meeting's theme.""}]",860.0,7,0
2021_04_23_MND_S2,2021_04_23_MND_S2,,,Um and uh cardiovascular health is a even a suppressant.,,2021_04_23_MND_S2_MND,Amina Schartup,,,,,860.0,860.0,,,MND,860.0,"[{'explain or define term or concept': 'Amina explains her background as a chemical oceanographer and the focus of her work on organometallic compounds and trace metals, providing context for her expertise.'}, {'provide supporting evidence': ""Amina provides supporting evidence by stating that mercury is a neurotoxicant linked to neurodegenerative diseases like Alzheimer's, connecting her work to the meeting's theme.""}]",860.0,8,0
2021_04_23_MND_S2,2021_04_23_MND_S2,,,I don't know.,,2021_04_23_MND_S2_MND,Amina Schartup,,,,,799.0000000000001,800.2769726247988,,,MND,799.6384863123994,"[{'express frustration': 'Amina expresses uncertainty about how her work connects to the discussion, indicating a sense of being lost or unsure how to contribute.'}, {'present new idea': ""Amina introduces the concept of 'inputs versus outputs' as a framework for understanding the microbiome's role, which is a new perspective in the conversation.""}, {'explain or define term or concept': ""Amina explains the concept of 'gross rates' within a system, clarifying that these internal processes don't necessarily impact the overall output or external environment.""}]",1659.0,9,0
