lens,center_global_sec,n_speakers_echo_window,n_edges_echo_window,n_cross_edges_echo_window,proposal_in_window,commit_in_window,is_signature,why_signature,context_±25s
Blocks,615.0,2,26,15,True,False,0,no_commitment,"[615.0s] Brad Smith: Well, um, yeah, let's maybe start some introductions. We're beginning the obviously by the third breakout session and all of this stuff beginning to know each other pretty well. So, uh, I'll just read them out here. Well, let me I've already introduced. Oh man, I'm a chemistry based person and optical imaging is primarily what I do. So the lack of deep tissue imaging is the problem I'm trying to avoid or trying to get around. Uh, but let's just see what other modalities that we've got there. So, um, Anarude, maybe start with you because you're you're not eating. | [615.0s] Brad Smith: which I will do, but whoever's birthday is closest to this day, you're in trouble, so it is an honor system I suppose. | [615.0s] Carolyn Bayer: could be used, anything that's absorbing light or another form of energy could in theory be used to generate an acoustic signal. Um, and so the the problem we'll run into though with deep tissue imaging is sensitivity. Um, so if you had a genetic reporter, you're not likely generating sufficient concentrations at depth that you would have the sensitivity necessary to detect it. Um, you know, we think a lot though about redesigning our systems for improved signal to noise, you know, improved light delivery, you know, and all of those things can work in your favor when you're trying to really push the limits on sensitivity, but we obviously have some big goals and big challenges. | [615.0s] Sixian You: sound the unscattering property, right? So if we know the signal is there, can we use ultrasound to confine the signal there, to modulate the signal, and then to get the signal back. So I think that could be very interesting and I need to learn more about Barbara's research on electrodes as wave guide. Uh, it sounds really fascinating. | [615.0s] Carolyn Bayer: determining how to send light in in a way that it scatters deeper in tissue. | [616.0s] Brad Smith: Genia, you're the one that's pioneering it. You've you've | [621.0s]"
Blocks,622.0,1,27,13,True,False,0,speakers<2;no_commitment,"[615.0s] Brad Smith: Well, um, yeah, let's maybe start some introductions. We're beginning the obviously by the third breakout session and all of this stuff beginning to know each other pretty well. So, uh, I'll just read them out here. Well, let me I've already introduced. Oh man, I'm a chemistry based person and optical imaging is primarily what I do. So the lack of deep tissue imaging is the problem I'm trying to avoid or trying to get around. Uh, but let's just see what other modalities that we've got there. So, um, Anarude, maybe start with you because you're you're not eating. | [615.0s] Brad Smith: which I will do, but whoever's birthday is closest to this day, you're in trouble, so it is an honor system I suppose. | [615.0s] Carolyn Bayer: determining how to send light in in a way that it scatters deeper in tissue. | [615.0s] Carolyn Bayer: could be used, anything that's absorbing light or another form of energy could in theory be used to generate an acoustic signal. Um, and so the the problem we'll run into though with deep tissue imaging is sensitivity. Um, so if you had a genetic reporter, you're not likely generating sufficient concentrations at depth that you would have the sensitivity necessary to detect it. Um, you know, we think a lot though about redesigning our systems for improved signal to noise, you know, improved light delivery, you know, and all of those things can work in your favor when you're trying to really push the limits on sensitivity, but we obviously have some big goals and big challenges. | [615.0s] Sixian You: sound the unscattering property, right? So if we know the signal is there, can we use ultrasound to confine the signal there, to modulate the signal, and then to get the signal back. So I think that could be very interesting and I need to learn more about Barbara's research on electrodes as wave guide. Uh, it sounds really fascinating. | [616.0s] Brad Smith: Genia, you're the one that's pioneering it. You've you've | [621.0s]"
Blocks,649.0,1,26,11,False,True,0,speakers<2;no_proposal,"[624.0s] Brad Smith: Um, well, | [627.0s] Barbara Smith: No, nobody's going to volunteer. | [631.0s] Brad Smith: Well, I'll just go alphabetical. I've got all sorts of I got I throw a dice. I've got a dice here which I also do as well. | [632.0s] Luke Mortensen: Maybe it'd seem more like the like wavefront or you know the challenges of achieving wavefront reconstruction to get wide field super resolution check techniques. I think that's going to be tough to overcome because they're very sensitive. Sam or something is like a true wide field sim is going to be highly sensitive to tissue aberrations and scattering. Okay, well that's plenty of bullet points. I don't think we need | [637.0s] Brad Smith: But there is some bit of anyway, as you can see now, it's a bit on the zoom in when it's in person, it's much better because you actually see an individual and you can point to them in the in the it's just like my family zooms, it's just total chaos and nobody pay any attention anyway. | [638.0s] Barbara Smith: Oh, I'd be delighted. Yeah, that's we are a little geeked out by it. | [646.0s] Barbara Smith: Yeah, it seems like there's a lot of a lot of connections throughout throughout. | [646.0s] Sixian You: Yeah. | [647.0s] Yevgenia Kozorovitskiy: And if you start combining that with the smart microscopy type approaches that were described by several groups in our previous brainstorming session, you could imagine situations where you can, you know, screen organoids that are developing in ways that are really efficient and give you a lot of the right kind of information. | [649.0s] Sixian You: Yeah, a lot of the technologies that to reject scatter light, they call this ballistic photons, which only go back and forth without other uh rerouting. Yeah. | [651.0s] Yevgenia Kozorovitskiy: I would also Barbara love to talk to you more about that. We do some micro LED based wireless uh tech for sensing and control. Uh, so I would I would love to learn more about your wave guide. |"
Blocks,659.0,2,39,23,False,True,0,no_proposal,"[637.0s] Brad Smith: But there is some bit of anyway, as you can see now, it's a bit on the zoom in when it's in person, it's much better because you actually see an individual and you can point to them in the in the it's just like my family zooms, it's just total chaos and nobody pay any attention anyway. | [638.0s] Barbara Smith: Oh, I'd be delighted. Yeah, that's we are a little geeked out by it. | [646.0s] Barbara Smith: Yeah, it seems like there's a lot of a lot of connections throughout throughout. | [646.0s] Sixian You: Yeah. | [647.0s] Yevgenia Kozorovitskiy: And if you start combining that with the smart microscopy type approaches that were described by several groups in our previous brainstorming session, you could imagine situations where you can, you know, screen organoids that are developing in ways that are really efficient and give you a lot of the right kind of information. | [649.0s] Sixian You: Yeah, a lot of the technologies that to reject scatter light, they call this ballistic photons, which only go back and forth without other uh rerouting. Yeah. | [651.0s] Yevgenia Kozorovitskiy: I would also Barbara love to talk to you more about that. We do some micro LED based wireless uh tech for sensing and control. Uh, so I would I would love to learn more about your wave guide. | [652.0s] Brad Smith: You could stand up there and report back that elephants are the best way to do imaging. I bet you no one actually catches you on this, but anyway. | [653.0s] Aniruddha Ray: Uh, hello everyone. So I've actually spoken to everyone here already. | [659.0s] Brad Smith: If if I just go to the prompt that we had, um, maybe as a as to kick this out, um, maybe start out with optical ideas, which I think is the central to all of that and then let you guys take it, but the first one there is, | [660.0s] Brad Smith: to increase the number. If anybody has any comment of it increasing the quality of those statements, go ahead. Um otherwise we got a couple of minutes so "
Blocks,661.0,2,39,23,False,True,0,no_proposal,"[637.0s] Brad Smith: But there is some bit of anyway, as you can see now, it's a bit on the zoom in when it's in person, it's much better because you actually see an individual and you can point to them in the in the it's just like my family zooms, it's just total chaos and nobody pay any attention anyway. | [638.0s] Barbara Smith: Oh, I'd be delighted. Yeah, that's we are a little geeked out by it. | [646.0s] Barbara Smith: Yeah, it seems like there's a lot of a lot of connections throughout throughout. | [646.0s] Sixian You: Yeah. | [647.0s] Yevgenia Kozorovitskiy: And if you start combining that with the smart microscopy type approaches that were described by several groups in our previous brainstorming session, you could imagine situations where you can, you know, screen organoids that are developing in ways that are really efficient and give you a lot of the right kind of information. | [649.0s] Sixian You: Yeah, a lot of the technologies that to reject scatter light, they call this ballistic photons, which only go back and forth without other uh rerouting. Yeah. | [651.0s] Yevgenia Kozorovitskiy: I would also Barbara love to talk to you more about that. We do some micro LED based wireless uh tech for sensing and control. Uh, so I would I would love to learn more about your wave guide. | [652.0s] Brad Smith: You could stand up there and report back that elephants are the best way to do imaging. I bet you no one actually catches you on this, but anyway. | [653.0s] Aniruddha Ray: Uh, hello everyone. So I've actually spoken to everyone here already. | [659.0s] Brad Smith: If if I just go to the prompt that we had, um, maybe as a as to kick this out, um, maybe start out with optical ideas, which I think is the central to all of that and then let you guys take it, but the first one there is, | [660.0s] Brad Smith: to increase the number. If anybody has any comment of it increasing the quality of those statements, go ahead. Um otherwise we got a couple of minutes so "
Blocks,662.0,2,39,23,False,True,0,no_proposal,"[637.0s] Brad Smith: But there is some bit of anyway, as you can see now, it's a bit on the zoom in when it's in person, it's much better because you actually see an individual and you can point to them in the in the it's just like my family zooms, it's just total chaos and nobody pay any attention anyway. | [638.0s] Barbara Smith: Oh, I'd be delighted. Yeah, that's we are a little geeked out by it. | [646.0s] Barbara Smith: Yeah, it seems like there's a lot of a lot of connections throughout throughout. | [646.0s] Sixian You: Yeah. | [647.0s] Yevgenia Kozorovitskiy: And if you start combining that with the smart microscopy type approaches that were described by several groups in our previous brainstorming session, you could imagine situations where you can, you know, screen organoids that are developing in ways that are really efficient and give you a lot of the right kind of information. | [649.0s] Sixian You: Yeah, a lot of the technologies that to reject scatter light, they call this ballistic photons, which only go back and forth without other uh rerouting. Yeah. | [651.0s] Yevgenia Kozorovitskiy: I would also Barbara love to talk to you more about that. We do some micro LED based wireless uh tech for sensing and control. Uh, so I would I would love to learn more about your wave guide. | [652.0s] Brad Smith: You could stand up there and report back that elephants are the best way to do imaging. I bet you no one actually catches you on this, but anyway. | [653.0s] Aniruddha Ray: Uh, hello everyone. So I've actually spoken to everyone here already. | [659.0s] Brad Smith: If if I just go to the prompt that we had, um, maybe as a as to kick this out, um, maybe start out with optical ideas, which I think is the central to all of that and then let you guys take it, but the first one there is, | [660.0s] Brad Smith: to increase the number. If anybody has any comment of it increasing the quality of those statements, go ahead. Um otherwise we got a couple of minutes so "
Blocks,692.0,2,65,30,True,False,0,no_commitment,"[667.0s] Yevgenia Kozorovitskiy: So, I and I think there are some ways to think about light sheet applications as related to depth, but its primary power is in gentleness and speed and not necessarily in depth. | [668.0s] Sixian You: Exactly because the ballistic photons decay exponentially with depth. | [668.0s] Alexandra Dickinson: I have a question about it kind of ties into something we were talking about in our last breakout session, so not most of you weren't there, but um, we were talking about how fluorescence is very, very specific to certain molecules, a single molecule and how some of the other really cool imaging techniques that have are have a lot of use are not as specific. I'm wondering for photoacoustic imaging, you know, I hear a lot about detecting hemoglobin and I assume that's because it's very concentrated and has sort of spectral properties that are that are easy to detect using a photoacoustic imaging. What other kinds of molecules can you detect and um, yeah, what is the kind of specificity? | [671.0s] Brad Smith: Yeah, let's put a pin in that and if we find we have a bit of uh a bit of a lag, we'll come back to that. I I want to help Jazz out a little bit because she's the only one in the whole conference I think doing plants and it seemed to me that plants have got like something around the outside so sticking an electrode into a plant might be the way to go. Is has that ever been thought about or uh what what's the problem that we could help you with, Jazz? | [671.0s] Aniruddha Ray: Oh, there is Stephen Barbara. So Danny, can see you. Hey Danny. | [673.0s] Brad Smith: Yeah. | [675.0s] Brad Smith: Are there methods beyond confocal and light sheet to address 3D regions deep within a tissue sample. | [675.0s] Barbara Smith: Sorry, sorry. I have a little human that required me for a few minutes. | [677.0s] Brad Smith: Um, maybe we should um, either we can go to the Google document um, to start starting our bullet points since Andrew set out no"
Blocks,699.0,1,43,14,True,True,0,speakers<2,"[675.0s] Barbara Smith: Sorry, sorry. I have a little human that required me for a few minutes. | [675.0s] Brad Smith: Are there methods beyond confocal and light sheet to address 3D regions deep within a tissue sample. | [677.0s] Brad Smith: Um, maybe we should um, either we can go to the Google document um, to start starting our bullet points since Andrew set out now the chopper. | [680.0s] Barbara Smith: Yeah, I'd be glad I'd be glad to navigate. | [680.0s] Yevgenia Kozorovitskiy: But if you think about, you know, broadly light shaping applications, I think would be would have been a better word to put there because light sheet to me it means that you rely somehow on camera based, um, sensor imaging, but light shaping applications are super broad and can rely on point detectors as well as camera based imaging and any kind of sensor that you want. And that's where I think there's a lot of | [682.0s] Aniruddha Ray: Um, so, uh, my name is Anirud. I'm from University of Toledo. I work on two different things. So I work on nanotechnology aided optical imaging, which involves fluorescence as well as photoacoustics. And that's what is my interest in deep tissue imaging. I also work on lensless holographic microscopy, um, but that is more for Xvivo samples or in vitro samples. So we basically develop different types of nanoparticles, um, metallic quantum dots, um, um, polymeric nanoparticles for biomedical imaging, sensing, as well as for therapy, uh, chemotherapy, photodynamic therapy. And we monitor them using fluorescence and photoacoustics, as well as some scattering and other things. | [682.0s] Brad Smith: That seems to me rather and some of you people are really focused on that. So where do you see in the next five years, let's say beyond light sheet, uh, how to how do people view that? | [685.0s] Brad Smith: You call it an electrode. I'm a little confused as an outsider. Why do you use the word electrode? That implies to me electrochemistry. | [690.0s] Aniruddha R"
Blocks,701.0,1,43,14,True,True,0,speakers<2,"[677.0s] Brad Smith: Um, maybe we should um, either we can go to the Google document um, to start starting our bullet points since Andrew set out now the chopper. | [680.0s] Barbara Smith: Yeah, I'd be glad I'd be glad to navigate. | [680.0s] Yevgenia Kozorovitskiy: But if you think about, you know, broadly light shaping applications, I think would be would have been a better word to put there because light sheet to me it means that you rely somehow on camera based, um, sensor imaging, but light shaping applications are super broad and can rely on point detectors as well as camera based imaging and any kind of sensor that you want. And that's where I think there's a lot of | [682.0s] Aniruddha Ray: Um, so, uh, my name is Anirud. I'm from University of Toledo. I work on two different things. So I work on nanotechnology aided optical imaging, which involves fluorescence as well as photoacoustics. And that's what is my interest in deep tissue imaging. I also work on lensless holographic microscopy, um, but that is more for Xvivo samples or in vitro samples. So we basically develop different types of nanoparticles, um, metallic quantum dots, um, um, polymeric nanoparticles for biomedical imaging, sensing, as well as for therapy, uh, chemotherapy, photodynamic therapy. And we monitor them using fluorescence and photoacoustics, as well as some scattering and other things. | [682.0s] Brad Smith: That seems to me rather and some of you people are really focused on that. So where do you see in the next five years, let's say beyond light sheet, uh, how to how do people view that? | [685.0s] Brad Smith: You call it an electrode. I'm a little confused as an outsider. Why do you use the word electrode? That implies to me electrochemistry. | [690.0s] Aniruddha Ray: Sure, I can start to summarize and we can conclude this discussion. | [692.0s] Barbara Smith: Yeah, so we do it's electrophysiology. So um the micropipette electrode um was developed I think it's around the 1960s and u"
Blocks,717.0,1,43,13,True,True,0,speakers<2,"[692.0s] Barbara Smith: Yeah, so we do it's electrophysiology. So um the micropipette electrode um was developed I think it's around the 1960s and um they record neuronal activity. It's a high resolution recording of typically single neurons um and their activity level um with the with the um basically I won't go into detail. Um so the electrode is placed into the brain and um it's typically done either um blind or um using optical microscopy approaches from from external sources. So uh a microscope on the outside. And and so what ends up happening is if you have um if you work with this blind, you would use like probably a DIC microscope and um you can do this in vivo and the electrode is placed in and uh positive pressure is is pushed into the electrode as it's moved through the brain tissue so that that electrode doesn't get clogged. The tip of the electrode is about um one to three microns in diameter and that electrode is is moved little very very very slowly into the brain um and there's no way to target selective cells of interest using the blind approach, but you can get deeper, right? So um the only way the most basic way that they know that they've hit a cell of interest is by creating a connection between that electrode and that cell. So they place it from a positive pressure and then we make a negative pressure from that. We create a bleb, so it sucks up part of that membrane of the cell. Um we um increase the pressure and it opens up the cell membrane so that there's a direct connection between that electrode and the fluids within the electrode and the cell um solution. And and what ends up happening is the um it ends up being able to record that cell, but you don't know what cell you're hitting until you start recording it. And if you've started recording the wrong cell, you have to remove that micropipette electrode um throw it out, place a new one in and then enter into the brain one more time. And so uh it's kind of a hunt and peck process. You can "
