conference,session,center_time_sec,sent_time_sec,speaker,sentence
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,989.8367346938776,Joyce Jose,"So Joyce, you you mean if you use specific inhibitors for GTPases, you actually see blockage of the virus replication or"
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,990.5,William Witola,"That's correct, yes."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,991.1980830670926,Wilfred van der Donk,So we focused mostly on the first part of our topic which is genetics.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,995.6506329113924,Dana Mitzel,"But you know, is would if we use something like that like the polyphenols or anything like that, would it be more broad based target where they're actually attacking more of like the transcription of viruses or something that's needed to actually that's applied to a lot of the RNA viruses."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,998.2778551532032,Wilfred van der Donk,"Yeah, and remember in in in uh um Andrew said it at the very beginning, uh the most successful proposals are those where people that don't speak each other's language now are forced to speak each other's language."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,998.5,Wilfred van der Donk,And then and then you went on but it would be really nice if there were databases where once people had done some mining the results thereof would be deposited in some database where you could easily for all kinds of different targets
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,1003.0077041602464,Kristin Koutmou,"I think it's also a very nice link to that because these modifications are almost exclusively, not entirely exclusively, but almost exclusively being put in by host protein machinery and I just I don't know."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,1005.8711001642037,Wilfred van der Donk,We have about 20 minutes before time is up.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,1006.5,Wilfred van der Donk,find what makes things spill over or not.
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,1006.6784810126584,Dana Mitzel,"So it's more RNA virus based versus DNA virus based, something like that."
2021_10_01_MZT_S11,2021_10_01_MZT_S11,1007.0,1007.0,Joyce Jose,So in my lab we actually use live cell imaging to study these um specifically antivirals and seeing virus replication using fluorescent viruses.
