conference,session,source_row_index,sent_index_in_row,sentence,dialogue_act,global_session,speaker,timestamp,global_start_sec,global_end_sec,clip_number,sent_start_sec_est,sent_end_sec_est,global_start_sec_y,global_end_sec_y,session_core,sent_time_sec,annotations,global_timestamp_sec,_utter_row,_sent_idx
2021_05_21_ABI_S16,2021_05_21_ABI_S16,,,Hi.,,2021_05_21_ABI_S16_ABI,Abhishek Shrivastava,,,,,679.0,679.0,,,ABI,679.0,"{'acknowledge contribution': ""The utterance 'Hi' acknowledges the previous speaker's greeting, but does not agree or expand on it.""}",679.0,0,0
2021_05_21_ABI_S16,2021_05_21_ABI_S16,,,Indeed.,,2021_05_21_ABI_S16_ABI,Abhishek Shrivastava,,,,,728.0,728.0,,,ABI,728.0,{'express agreement': 'Abhishek agrees with the suggestion that Matt can be the facilitator.'},728.0,1,0
2021_05_21_ABI_S16,2021_05_21_ABI_S16,,,Matt can be our facilitator.,,2021_05_21_ABI_S16_ABI,Abhishek Shrivastava,,,,,726.0,727.0,,,ABI,726.5,"{'propose decision': 'Abhishek suggests that Matt should be the facilitator, proposing a concrete choice for the group.'}",1454.0,2,0
2021_05_21_ABI_S16,2021_05_21_ABI_S16,,,"Now I try to imagine the microbiome in a way that you know, what if the most prominent species were or more prominent uh you know, file was not bacterities.",,2021_05_21_ABI_S16_ABI,Abhishek Shrivastava,,,,,941.0,953.8925619834711,,,ABI,947.4462809917355,"[{'present new idea': 'The speaker introduces a hypothetical scenario where the microbiome is dominated by proteobacteria instead of bacteroidetes, which is a novel concept in the context of the discussion.'}, {'expand on existing idea': 'The speaker expands on the hypothetical scenario by explaining that proteobacteria, like E. coli, are easier to genetically modify, and that microbiologists have focused on developing genetic tools for them, building on the idea of the microbiome composition.'}]",1669.0,3,0
2021_05_21_ABI_S16,2021_05_21_ABI_S16,,,"What if it was proteobacteria, you know, E coli like bacteria that could easily easily be genetically modified.",,2021_05_21_ABI_S16_ABI,Abhishek Shrivastava,,,,,953.8925619834712,963.0661157024794,,,ABI,958.4793388429753,"[{'present new idea': 'The speaker introduces a hypothetical scenario where the microbiome is dominated by proteobacteria instead of bacteroidetes, which is a novel concept in the context of the discussion.'}, {'expand on existing idea': 'The speaker expands on the hypothetical scenario by explaining that proteobacteria, like E. coli, are easier to genetically modify, and that microbiologists have focused on developing genetic tools for them, building on the idea of the microbiome composition.'}]",1669.0,4,0
2021_05_21_ABI_S16,2021_05_21_ABI_S16,,,"The microbiologist in since the last, you know, 50, 60 years or even more 70 years have mostly focused on developing genetic tools for proteobacteria like E coli salmonella and others.",,2021_05_21_ABI_S16_ABI,Abhishek Shrivastava,,,,,963.0661157024792,978.2727272727273,,,ABI,970.6694214876032,"[{'present new idea': 'The speaker introduces a hypothetical scenario where the microbiome is dominated by proteobacteria instead of bacteroidetes, which is a novel concept in the context of the discussion.'}, {'expand on existing idea': 'The speaker expands on the hypothetical scenario by explaining that proteobacteria, like E. coli, are easier to genetically modify, and that microbiologists have focused on developing genetic tools for them, building on the idea of the microbiome composition.'}]",1669.0,5,0
2021_05_21_ABI_S16,2021_05_21_ABI_S16,,,And bacterities uh people didn't really think a lot about.,,2021_05_21_ABI_S16_ABI,Abhishek Shrivastava,,,,,978.2727272727274,983.0661157024794,,,ABI,980.6694214876034,"[{'present new idea': 'The speaker introduces a hypothetical scenario where the microbiome is dominated by proteobacteria instead of bacteroidetes, which is a novel concept in the context of the discussion.'}, {'expand on existing idea': 'The speaker expands on the hypothetical scenario by explaining that proteobacteria, like E. coli, are easier to genetically modify, and that microbiologists have focused on developing genetic tools for them, building on the idea of the microbiome composition.'}]",1669.0,6,0
2021_05_21_ABI_S16,2021_05_21_ABI_S16,,,There were like few labs Abigail Salier and few others who were making mutations in bacterities.,,2021_05_21_ABI_S16_ABI,Abhishek Shrivastava,,,,,983.0661157024792,991.0,,,ABI,987.0330578512396,"[{'present new idea': 'The speaker introduces a hypothetical scenario where the microbiome is dominated by proteobacteria instead of bacteroidetes, which is a novel concept in the context of the discussion.'}, {'expand on existing idea': 'The speaker expands on the hypothetical scenario by explaining that proteobacteria, like E. coli, are easier to genetically modify, and that microbiologists have focused on developing genetic tools for them, building on the idea of the microbiome composition.'}]",1669.0,7,0
2021_05_21_ABI_S16,2021_05_21_ABI_S16,,,So what would the microbiome look like if we could manipulate let's say previtella and valunella like you know make mutations within week or so uh for that.,,2021_05_21_ABI_S16_ABI,Abhishek Shrivastava,,,,,991.0,999.0325203252032,,,ABI,995.0162601626016,"{'present new idea': ""The speaker introduces a novel concept of manipulating specific bacteria (previtella and valunella) within the microbiome to study stress responses, which hasn't been explicitly discussed before."", 'propose decision': 'The speaker suggests a concrete choice for the group to consider manipulating specific bacteria and putting them in a controlled system to study stress response.', 'ask clarifying question': 'The speaker is asking if manipulating the microbiome and studying stress response would help understand the microbial end of it.'}",1719.0,8,0
2021_05_21_ABI_S16,2021_05_21_ABI_S16,,,Can we then you know put them in a control system and study stress response and then you know change it essentially if we need to.,,2021_05_21_ABI_S16_ABI,Abhishek Shrivastava,,,,,999.0325203252032,1005.7262872628726,,,ABI,1002.3794037940379,"{'present new idea': ""The speaker introduces a novel concept of manipulating specific bacteria (previtella and valunella) within the microbiome to study stress responses, which hasn't been explicitly discussed before."", 'propose decision': 'The speaker suggests a concrete choice for the group to consider manipulating specific bacteria and putting them in a controlled system to study stress response.', 'ask clarifying question': 'The speaker is asking if manipulating the microbiome and studying stress response would help understand the microbial end of it.'}",1719.0,9,0
2021_05_21_ABI_S16,2021_05_21_ABI_S16,,,I mean would that help us understand at least the microbial end of it?,,2021_05_21_ABI_S16_ABI,Abhishek Shrivastava,,,,,1005.7262872628726,1009.3306233062331,,,ABI,1007.5284552845528,"{'present new idea': ""The speaker introduces a novel concept of manipulating specific bacteria (previtella and valunella) within the microbiome to study stress responses, which hasn't been explicitly discussed before."", 'propose decision': 'The speaker suggests a concrete choice for the group to consider manipulating specific bacteria and putting them in a controlled system to study stress response.', 'ask clarifying question': 'The speaker is asking if manipulating the microbiome and studying stress response would help understand the microbial end of it.'}",1719.0,10,0
2021_05_21_ABI_S16,2021_05_21_ABI_S16,,,I don't know.,,2021_05_21_ABI_S16_ABI,Abhishek Shrivastava,,,,,1009.3306233062331,1010.0,,,ABI,1009.6653116531165,"{'present new idea': ""The speaker introduces a novel concept of manipulating specific bacteria (previtella and valunella) within the microbiome to study stress responses, which hasn't been explicitly discussed before."", 'propose decision': 'The speaker suggests a concrete choice for the group to consider manipulating specific bacteria and putting them in a controlled system to study stress response.', 'ask clarifying question': 'The speaker is asking if manipulating the microbiome and studying stress response would help understand the microbial end of it.'}",1719.0,11,0
