conference,session,speaker,sent_time_sec,sentence,annotations,rx_decision,rx_assign,rx_summarize,decision_any
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Solange Duhamel,720.9941860465117,"So I think thinking of both the microbes, their processes but also their environments, everything is tied together which is also a difficulty because uh part of it is can you mimic that in the lab and uh how can how much can you simplify without losing important components that would uh artificially drive your results towards uh the wrong answer.","[{'explain or define term or concept': 'The speaker explains that the redfield ratio may be difficult to predict in early earth conditions because the current oxygenated world differs significantly, especially regarding phosphorus assimilation, from the reduced environments of early earth.'}, {'expand on existing idea': 'The speaker expands on the discussion about universal composition of life by suggesting that to understand the redfield ratio in early Earth, we need to study organisms in reduced environments similar to early Earth, highlighting the difficulty of mimicking these conditions in the lab without losing important components.'}]",False,True,False,True
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Niki Parenteau,766.4970873786408,"I have put uh I pasted the link for the slide deck that we're supposed to record uh the key points in and you might also include like if you feel like you're converging on a potential project, you might include that like as the last bullet point.","{'acknowledge contribution': {'Explanation': ""The speaker acknowledges Jeff's contribution of summarizing the discussion.""}, 'assign task': {'Explanation': 'The speaker assigns the task of recording key points in the slide deck, including potential projects, to the group.'}, 'expand on existing idea': {'Explanation': ""The speaker expands on the idea of summarizing key points by suggesting including potential projects as a bullet point, referencing Rika and Noah's discussion on nutrient limitation and its application to ocean worlds.""}}",False,True,False,True
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Jay Forsythe(he/him),772.3589869682812,"And an issue with that just experimentally like on on more like like experimental side is, you know, even if, you know, even if we do collect, you know, like a lot of a lot of meteorite on earth and we're, you know, we take it to our lab, the just the sample preparation that we perform to so that we can do organic analysis, you know, sometimes that actually could break down some of the more complex um organics that were present in there and we actually can't see them because just by just in order to extract them, you know, we have to use like really strong acid and things like that.","[{'explain or define term or concept': 'Jay explains how the history of a meteorite, including heating and melting cycles, affects the organic compounds detected, and also explains the structural isomers of amino acids.', 'provide supporting evidence': 'Jay provides supporting evidence by mentioning the Murchison meteorite and how the alpha amino acids are upregulated in that meteorite relative to other structural isomers.', 'expand on existing idea': 'Jay expands on the idea of delivery versus destruction of building blocks by discussing the limitations of sample preparation techniques and analytical instrumentation used on extraterrestrial rovers, highlighting the complexity of organic analysis.', 'express enthusiasm': 'Jay expresses enthusiasm for the Benu sample return mission, highlighting its potential for in-depth analysis of organic content.'}]",False,True,False,True
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Niki Parenteau,757.1883495145631,So thanks Jeff for summarizing that.,"{'acknowledge contribution': {'Explanation': ""The speaker acknowledges Jeff's contribution of summarizing the discussion.""}, 'assign task': {'Explanation': 'The speaker assigns the task of recording key points in the slide deck, including potential projects, to the group.'}, 'expand on existing idea': {'Explanation': ""The speaker expands on the idea of summarizing key points by suggesting including potential projects as a bullet point, referencing Rika and Noah's discussion on nutrient limitation and its application to ocean worlds.""}}",False,True,False,True
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Stilianos Louca,732.9342560553633,"Well, I can start, I guess.","[{'explain or define term or concept': 'Stilianos explains his background and current research focus, including areas like microbial ecology, evolution, sequencing techniques, and phylogenomics, to provide context for his expertise.'}, {'assign task': 'Stilianos asks Jeff to share the link to the document so that others can contribute, assigning Jeff the task of sharing the document.'}, {'encourage particpatioin': 'Stilianos suggests that others contribute to the document if Jeff misses something, encouraging participation from the group.'}]",False,True,False,True
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Niki Parenteau,714.4008935824533,"Um, so it's it is a possibility to look for that.","[{'expand on existing idea': 'The speaker builds on the previous discussion about underground deposits by suggesting kerogen as an alternative to oil and mentioning its presence on Mars.'}, {'explain or define term or concept': 'The speaker explains what kerogen is, describing it as a more solid form of carbon and a complex material.'}, {'propose decision': 'The speaker proposes to look for kerogen in areas where ancient rocks are exposed, such as meter craters and impact sites, as an alternative to drilling.'}]",True,False,False,True
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Niki Parenteau,624.2492307692308,It looks like we're all here.,"{'assign task': 'The speaker is assigning the task of being a reporter/recorder to someone in the group by asking for a volunteer.', 'encourage particpatioin': 'The speaker is encouraging participation by asking if anyone is open to volunteering for the reporter/recorder role.'}",False,True,False,True
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Niki Parenteau,720.5463038180342,"Um, but again, it might be difficult uh to put it in the in the framework that Vicky was talking about assessing false positives.","[{'expand on existing idea': 'The speaker builds on the previous discussion about underground deposits by suggesting kerogen as an alternative to oil and mentioning its presence on Mars.'}, {'explain or define term or concept': 'The speaker explains what kerogen is, describing it as a more solid form of carbon and a complex material.'}, {'propose decision': 'The speaker proposes to look for kerogen in areas where ancient rocks are exposed, such as meter craters and impact sites, as an alternative to drilling.'}]",True,False,False,True
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Niki Parenteau,718.8787878787879,"And um, as Richard said, we'll kind of keep it brief, but it'd be helpful to know, you know, who you are, your name, where you work and and kind of your specialty areas.","{'assign task': 'Niki assigns Jeff the task of setting up the Google Doc for recording notes.', 'encourage particpatioin': 'Niki encourages participation by suggesting that everyone introduce themselves and their specialty areas.'}",True,True,False,True
2021_06_10_SLU_S1,2021_06_10_SLU_S1,Niki Parenteau,626.5753846153846,"Well, thanks for joining.","{'assign task': 'The speaker is assigning the task of being a reporter/recorder to someone in the group by asking for a volunteer.', 'encourage particpatioin': 'The speaker is encouraging participation by asking if anyone is open to volunteering for the reporter/recorder role.'}",False,True,False,True
