conference,session,source_row_index,sent_index_in_row,sentence,dialogue_act,global_session,speaker,timestamp,global_start_sec,global_end_sec,clip_number,sent_start_sec_est,sent_end_sec_est,global_start_sec_y,global_end_sec_y,session_core,sent_time_sec,annotations,global_timestamp_sec,_utter_row,_sent_idx
2021_04_23_MND_S8,2021_04_23_MND_S8,,,"But um, does it have to really fit in one year?",,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,978.0,979.0,,,MND,978.5,"{'ask clarifying question': ""Aida is asking a clarifying question about whether a proposal to Silog needs to fit within a one-year timeframe, given Daren's previous statement about high-risk, high-reward projects.""}",978.0,0,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,Hi.,,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,978.0,978.0,,,MND,978.0,"[{'explain or define term or concept': ""The speaker explains their group's expertise in developing biosensors and diagnostics for real-time monitoring of various biological entities, providing context for their research focus.""}]",978.0,1,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,"Um, oh, sorry. yeah.",,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,978.0,978.0,,,MND,978.0,"[{'explain or define term or concept': ""The speaker explains their group's expertise in developing biosensors and diagnostics for real-time monitoring of various biological entities, providing context for their research focus.""}]",978.0,2,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,"How do you say your name, Aida or Aida?",,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,978.0,978.0,,,MND,978.0,"[{'explain or define term or concept': ""The speaker explains their group's expertise in developing biosensors and diagnostics for real-time monitoring of various biological entities, providing context for their research focus.""}]",978.0,3,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,Aida.,,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,978.0,978.0,,,MND,978.0,"[{'explain or define term or concept': ""The speaker explains their group's expertise in developing biosensors and diagnostics for real-time monitoring of various biological entities, providing context for their research focus.""}]",978.0,4,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,"Yeah, that's it.",,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,978.0,978.0,,,MND,978.0,"[{'explain or define term or concept': ""The speaker explains their group's expertise in developing biosensors and diagnostics for real-time monitoring of various biological entities, providing context for their research focus.""}]",978.0,5,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,"Um, uh, I'm Aida Ebrahimi, assistant professor from Penn State.",,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,978.0,978.0,,,MND,978.0,"[{'explain or define term or concept': ""The speaker explains their group's expertise in developing biosensors and diagnostics for real-time monitoring of various biological entities, providing context for their research focus.""}]",978.0,6,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,"Um, so, uh, I am I am from electrical engineering and biomedical engineering department.",,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,978.0,978.0,,,MND,978.0,"[{'explain or define term or concept': ""The speaker explains their group's expertise in developing biosensors and diagnostics for real-time monitoring of various biological entities, providing context for their research focus.""}]",978.0,7,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,"Um, my group, our expertise is on developing biosensors and diagnostics uh with a special focus on real time in situ and non non-destructive monitoring of neurochemicals, um hormones and also bacteria cells in their intact form.",,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,978.0,978.0,,,MND,978.0,"[{'explain or define term or concept': ""The speaker explains their group's expertise in developing biosensors and diagnostics for real-time monitoring of various biological entities, providing context for their research focus.""}]",978.0,8,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,So we have worked on um a couple of different um projects on monitoring cell cell conjugation in horizontal uh gene transfer uh related to antibacterial resistance.,,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,978.0,978.0,,,MND,978.0,"[{'explain or define term or concept': ""The speaker explains their group's expertise in developing biosensors and diagnostics for real-time monitoring of various biological entities, providing context for their research focus.""}]",978.0,9,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,Mhm.,,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,1704.0,1704.0,,,MND,1704.0,"{'acknowledge contribution': ""Aida is acknowledging Rosa's explanation of the changes observed in gut microbiota after gastric bypass surgery, specifically the increase in gamma proteobacteria.""}",1704.0,10,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,"Rosie, one question.",,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,710.0,711.2244897959183,,,MND,710.6122448979592,"{'ask clarifying question': ""Aida asks Rosa to clarify what changes were observed in the gut microbiota after gastric bypass surgery, following Rosa's mention of drastic changes and statistical significance with only three patients.""}",2414.0,11,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,What what were those changes?,,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,711.2244897959183,713.0,,,MND,712.1122448979592,"{'ask clarifying question': ""Aida asks Rosa to clarify what changes were observed in the gut microbiota after gastric bypass surgery, following Rosa's mention of drastic changes and statistical significance with only three patients.""}",2414.0,12,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,"So I was wondering, um, so I apologize I'm I'm not uh in this field uh so I I I just throw this question maybe someone has answer.",,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,1093.0,1108.5434782608695,,,MND,1100.7717391304348,"{'ask clarifying question': 'Aida asks about the extent of existing research on interspecies interactions in the microbiome, seeking to understand the current state of knowledge in the field.'}",2797.0,13,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,"Uh to what level existing uh work has, you know, what is the level of existing work on some some sort of interspecies interaction in the microbio.",,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,1108.5434782608695,1126.0,,,MND,1117.2717391304348,"{'ask clarifying question': 'Aida asks about the extent of existing research on interspecies interactions in the microbiome, seeking to understand the current state of knowledge in the field.'}",2797.0,14,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,So then I've got a question.,,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,866.9999999999999,868.448275862069,,,MND,867.7241379310344,"[{'encourage participation': 'Aida encourages Carolina to speak, indicating that Carolina wanted to say something.'}]",3664.0,15,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,"Oh, sorry, Carolina, go ahead.",,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,868.4482758620691,870.0,,,MND,869.2241379310345,"[{'encourage participation': 'Aida encourages Carolina to speak, indicating that Carolina wanted to say something.'}]",3664.0,16,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,"So what do we uh you know, what what do you uh look at?",,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,3664.0,3664.0,,,MND,3664.0,"{'ask clarifying question': 'Aida is asking what specific signals or markers are used to observe and understand interspecies interactions, specifically regarding fungus bloom, building on the previous discussion about interspecies interactions and the effects of helminths and antibiotics on the microbiome.'}",3664.0,17,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,"Do you look at let's say growth of population of a certain species and that's the signal or no, it's more detail like more detail in terms of here is um um you know, uh I don't know, certain metabolites that also are getting released or produced or consumed uh like what is that signal that shows the fungus bloom, I assume it's just the population goes up, is that so or no?",,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,3664.0,3664.0,,,MND,3664.0,"{'ask clarifying question': 'Aida is asking what specific signals or markers are used to observe and understand interspecies interactions, specifically regarding fungus bloom, building on the previous discussion about interspecies interactions and the effects of helminths and antibiotics on the microbiome.'}",3664.0,18,0
2021_04_23_MND_S8,2021_04_23_MND_S8,,,It's more detail like we know biochemical markers that they also change in addition to growth.,,2021_04_23_MND_S8_MND,Aida Ebrahimi,,,,,3664.0,3664.0,,,MND,3664.0,"{'ask clarifying question': 'Aida is asking what specific signals or markers are used to observe and understand interspecies interactions, specifically regarding fungus bloom, building on the previous discussion about interspecies interactions and the effects of helminths and antibiotics on the microbiome.'}",3664.0,19,0
