conference,session,source_row_index,sent_index_in_row,sentence,dialogue_act,global_session,speaker,timestamp,global_start_sec,global_end_sec,clip_number,sent_start_sec_est,sent_end_sec_est,global_start_sec_y,global_end_sec_y,session_core,sent_time_sec,annotations,global_timestamp_sec,_utter_row,_sent_idx
2021_06_11_SLU_S13,2021_06_11_SLU_S13,,,"And I guess kind of coming at it from the opposite direction from Chris's point, thinking about the origins aspect of it, the other paper that came to mind during this discussion that I just pasted here and I'll also put on the slack is a paper from Ron Breaker's lab where they were looking for uh ribozyme uh hammerhead ribozyme in different domains of life and they found um a hammerhead ribozyme from uh some halophilic archaea that um it actually only worked um in high salt.",,2021_06_11_SLU_S13_SLU,Aaron Engelhart,,,,,902.0,930.0,,,SLU,916.0,"{'provide supporting evidence': ""Aaron mentions a paper from Ron Breaker's lab as evidence related to the discussion, providing a specific example of a ribozyme that functions in high salt conditions, supporting the idea that life can exist in extreme environments."", 'expand on existing idea': ""Aaron is expanding on the discussion about extremophiles and the conditions they can survive in, building on Chris's point by providing a specific example related to the origins of life in high-salt environments.""}",902.0,0,0
2021_06_11_SLU_S13,2021_06_11_SLU_S13,,,Go ahead.,,2021_06_11_SLU_S13_SLU,Aaron Engelhart,,,,,985.0,985.0,,,SLU,985.0,"{'encourage particpatioin': ""Aaron encourages someone else to speak, following Timothy's open question about the full scope of life and reaction possibilities.""}",985.0,1,0
2021_06_11_SLU_S13,2021_06_11_SLU_S13,,,Go ahead.,,2021_06_11_SLU_S13_SLU,Aaron Engelhart,,,,,985.0,985.0,,,SLU,985.0,"[{'encourage particpatioin': ""Aaron is encouraging someone else to speak, likely in response to Timothy's question.""}]",985.0,2,0
2021_06_11_SLU_S13,2021_06_11_SLU_S13,,,"Hey guys, um am I unmuted and everything?",,2021_06_11_SLU_S13_SLU,Aaron Engelhart,,,,,852.0,855.3035971223021,,,SLU,853.651798561151,"[{'explain or define term or concept': ""Aaron explains his lab's work on prebiotic chemistry, specifically the transition from simple molecules to early cells, providing context for his research.""}, {'expand on existing idea': ""Aaron builds on the introduction prompt by describing his lab's work on RNA world scenarios in hypersaline environments and Mars, connecting it to the topic of interest.""}]",1837.0,3,0
2021_06_11_SLU_S13,2021_06_11_SLU_S13,,,I'm just checking this.,,2021_06_11_SLU_S13_SLU,Aaron Engelhart,,,,,855.3035971223022,857.1568345323741,,,SLU,856.2302158273382,"[{'explain or define term or concept': ""Aaron explains his lab's work on prebiotic chemistry, specifically the transition from simple molecules to early cells, providing context for his research.""}, {'expand on existing idea': ""Aaron builds on the introduction prompt by describing his lab's work on RNA world scenarios in hypersaline environments and Mars, connecting it to the topic of interest.""}]",1837.0,4,0
2021_06_11_SLU_S13,2021_06_11_SLU_S13,,,"All right, great.",,2021_06_11_SLU_S13_SLU,Aaron Engelhart,,,,,857.1568345323741,858.526618705036,,,SLU,857.841726618705,"[{'explain or define term or concept': ""Aaron explains his lab's work on prebiotic chemistry, specifically the transition from simple molecules to early cells, providing context for his research.""}, {'expand on existing idea': ""Aaron builds on the introduction prompt by describing his lab's work on RNA world scenarios in hypersaline environments and Mars, connecting it to the topic of interest.""}]",1837.0,5,0
2021_06_11_SLU_S13,2021_06_11_SLU_S13,,,"Uh yeah, Aaron Engelhart.",,2021_06_11_SLU_S13_SLU,Aaron Engelhart,,,,,858.526618705036,860.5410071942446,,,SLU,859.5338129496403,"[{'explain or define term or concept': ""Aaron explains his lab's work on prebiotic chemistry, specifically the transition from simple molecules to early cells, providing context for his research.""}, {'expand on existing idea': ""Aaron builds on the introduction prompt by describing his lab's work on RNA world scenarios in hypersaline environments and Mars, connecting it to the topic of interest.""}]",1837.0,6,0
2021_06_11_SLU_S13,2021_06_11_SLU_S13,,,I'm an assistant professor at the University of Minnesota.,,2021_06_11_SLU_S13_SLU,Aaron Engelhart,,,,,860.5410071942447,865.2143884892087,,,SLU,862.8776978417267,"[{'explain or define term or concept': ""Aaron explains his lab's work on prebiotic chemistry, specifically the transition from simple molecules to early cells, providing context for his research.""}, {'expand on existing idea': ""Aaron builds on the introduction prompt by describing his lab's work on RNA world scenarios in hypersaline environments and Mars, connecting it to the topic of interest.""}]",1837.0,7,0
2021_06_11_SLU_S13,2021_06_11_SLU_S13,,,Uh my lab works on uh prebiotic chemistry uh at the point where you kind of start to get assemblies.,,2021_06_11_SLU_S13_SLU,Aaron Engelhart,,,,,865.2143884892087,873.2719424460431,,,SLU,869.2431654676259,"[{'explain or define term or concept': ""Aaron explains his lab's work on prebiotic chemistry, specifically the transition from simple molecules to early cells, providing context for his research.""}, {'expand on existing idea': ""Aaron builds on the introduction prompt by describing his lab's work on RNA world scenarios in hypersaline environments and Mars, connecting it to the topic of interest.""}]",1837.0,8,0
2021_06_11_SLU_S13,2021_06_11_SLU_S13,,,So moving past uh sort of simple small molecules but before early cells.,,2021_06_11_SLU_S13_SLU,Aaron Engelhart,,,,,873.2719424460431,879.0733812949641,,,SLU,876.1726618705036,"[{'explain or define term or concept': ""Aaron explains his lab's work on prebiotic chemistry, specifically the transition from simple molecules to early cells, providing context for his research.""}, {'expand on existing idea': ""Aaron builds on the introduction prompt by describing his lab's work on RNA world scenarios in hypersaline environments and Mars, connecting it to the topic of interest.""}]",1837.0,9,0
