conference,session,center_time_sec,speaker,sent_time_sec,sentence,annotations,rx_decision,rx_assign,rx_summarize,decision_composite,rel_sec
2021_10_01_MZT_S11,2021_10_01_MZT_S11,923.1123595505618,Brenda Rubenstein,903.5200421940928,"So you know, what are molecular markers that we should be looking for that could be easily sampled um and and used in surveillance tasks.","[{'present new idea': 'Brenda introduces a new idea about general means of pathogen detection for surveillance, shifting the focus from specific host-pathogen interactions to broader detection methods, which is a novel concept in the discussion.'}]",True,False,False,False,-19.59231735646904
2021_10_01_MZT_S11,2021_10_01_MZT_S11,923.1123595505618,Wilfred van der Donk,904.3313953488372,I can see uh if we can then see everything.,"[{'ask clarifying question': 'Wilfred is asking Kristin to make the font smaller on the shared screen, so he can see everything, which is a request for a change to improve visibility.'}]",True,False,False,False,-18.7809642017246
2021_10_01_MZT_S11,2021_10_01_MZT_S11,923.1123595505618,William Witola,905.5463902147972,"So quite clearly, there is something at play in the way the host responds to infection vis-a-vis genetics or epigenetics, which will determine whether the host to be susceptible or not susceptible or whether you see pathology or you don't see pathology.","[{'provide supporting evidence': ""William is responding to Wilfred's question about identifying genetic markers that predict spillover by describing a study on toxoplasma to provide evidence related to host genetics and susceptibility to infection.""}, {'explain or define term or concept': ""William explains that inflammasomes are important for innate immune responses that activate the expression of cytokines, providing a definition for the term 'inflammasome'.""}]",False,False,False,False,-17.565969335764635
2021_10_01_MZT_S11,2021_10_01_MZT_S11,923.1123595505618,Joyce Jose,906.1764705882352,"We use Zika and also Chikungunya or and we we can actually use these fluorescently tagged um CDC 42 or other GTPases, different organel specific GTPases","[{'expand on existing idea': 'Dana Mitzel was just discussing GTPases and their role in viral replication, and Joyce is now expanding on that idea by mentioning that her lab uses live cell imaging to study viruses and GTPases, building upon the previous discussion.'}]",True,False,False,False,-16.935888962326544
2021_10_01_MZT_S11,2021_10_01_MZT_S11,923.1123595505618,Wilfred van der Donk,906.7906976744188,Yes.,"[{'ask clarifying question': 'Wilfred is asking Kristin to make the font smaller on the shared screen, so he can see everything, which is a request for a change to improve visibility.'}]",False,False,False,False,-16.321661876143025
2021_10_01_MZT_S11,2021_10_01_MZT_S11,923.1123595505618,Wilfred van der Donk,908.0,The way the uh the resource corporation came up with these as I think you know is by us all of us facilitators and fellows and uh funders uh just putting interesting questions into their their uh questionnaires.,"{'explain or define term or concept': 'The speaker is explaining the origin of the prompts by describing how the resource corporation gathered them from facilitators, fellows, and funders.'}",False,False,False,False,-15.112359550561791
2021_10_01_MZT_S11,2021_10_01_MZT_S11,923.1123595505618,William Witola,908.736279401283,"So the mechanism that the host uses to counteract it is kind of uh similar to all intracellular pathogens, not just parasites, but uh is also quite related to the mechanisms that the host will use against tuberculosis for example, which is intracellular.","[{'ask clarifying question': 'William is asking if susceptibility to one virus implies susceptibility to others, seeking clarification on the generalizability of susceptibility features across different pathogens, building on the discussion about host genetics and pathogen spillover.'}, {'expand on existing idea': ""William expands on the idea of host susceptibility by providing the example of toxoplasma and how the host's mechanisms to counteract it are similar to those used against other intracellular pathogens like tuberculosis, building on the discussion about host genetics and pathogen spillover.""}]",False,False,True,False,-14.376080149278778
2021_10_01_MZT_S11,2021_10_01_MZT_S11,923.1123595505618,William Witola,909.8022727272728,So I'm looking at uh immune responses of initial human hosts.,"[{'expand on existing idea': ""William is building on the previous discussion about the immune responses of initial human hosts by suggesting to specify it as innate responses, because 'immune' can include vaccinated people, while they are focusing on initial responses.""}, {'ask clarifying question': ""William is asking if they can specify 'immune responses' as 'innate responses' to clarify the type of immune response they are discussing.""}]",False,False,False,False,-13.310086823288998
2021_10_01_MZT_S11,2021_10_01_MZT_S11,923.1123595505618,Wilfred van der Donk,910.0,"Uh Joyce, you're next on my my going around.","{'encourage participation': 'Wilfred is explicitly inviting Joyce to share her thoughts, continuing the round-robin discussion he initiated.'}",False,False,False,False,-13.112359550561791
2021_10_01_MZT_S11,2021_10_01_MZT_S11,923.1123595505618,William Witola,913.1113636363636,Uh can we like just specify it as innate responses?,"[{'expand on existing idea': ""William is building on the previous discussion about the immune responses of initial human hosts by suggesting to specify it as innate responses, because 'immune' can include vaccinated people, while they are focusing on initial responses.""}, {'ask clarifying question': ""William is asking if they can specify 'immune responses' as 'innate responses' to clarify the type of immune response they are discussing.""}]",False,False,False,False,-10.000995914198144
